NUTSM,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15,rep_16,rep_17,rep_18,rep_19,rep_20,rep_21,rep_22,rep_23,rep_24,rep_25,rep_26,rep_27,rep_28,rep_29,rep_30,rep_31,rep_32,rep_33,rep_34,rep_35,rep_36,rep_37,rep_38,rep_39,rep_40,rep_41,rep_42,rep_43,rep_44,rep_45,rep_46,rep_47,rep_48,rep_49,rep_50,rep_51,rep_52,rep_53,rep_54,rep_55,rep_56,rep_57,rep_58,rep_59,rep_60,rep_61,rep_62,rep_63,rep_64,rep_65,rep_66,rep_67,rep_68,rep_69,rep_70,rep_71,rep_72,rep_73,rep_74,rep_75,rep_76,rep_77,rep_78,rep_79,rep_80,rep_81,rep_82,rep_83,rep_84,rep_85,rep_86,rep_87,rep_88,rep_89,rep_90,rep_91,rep_92,rep_93,rep_94,rep_95,rep_96,rep_97,rep_98,rep_99,rep_100
MEG125358,0.592486985,0.385533077,0.464007071,0.495123562,0.432065036,0.39851189,0.824444542,0.365538067,0.691262582,0.581812763,0.536697626,0.744685764,0.486799847,0.393429356,0.666532629,0.615295303,0.320733521,0.409486656,0.642505484,0.336978559,0.673178359,0.432338193,0.427179893,0.657582651,0.679307965,0.362430104,0.481527246,0.44132124,0.213034429,0.537871178,0.112020604,0.80981117,0.751179732,0.680194943,0.548293129,0.53156121,0.564941496,0.721613725,0.37372527,0.588092426,0.43934367,0.603320002,0.445698904,0.653539547,0.584831971,0.680534187,0.702914058,0.328021053,0.40109087,0.576993693,0.305843963,0.17868058,0.462693347,0.481918089,0.69211112,0.241172658,0.314567271,0.608860296,0.56665946,0.491168144,0.492744432,0.376819241,0.367799264,0.50341206,0.710659206,0.685681945,0.739717625,0.334840038,0.459249296,0.658445395,0.365232021,0.458227846,0.338729559,0.462603418,0.404956774,0.360932815,0.692990255,0.873745508,0.546722789,0.186907666,0.39288214,0.50489164,0.395306117,0.252550995,0.806628321,0.491984539,0.568992505,0.696757503,0.187332282,0.414345413,0.215217787,0.467542504,0.447876389,0.703286972,0.845299814,0.491090154,0.550398836,0.701071445,0.741140904,0.401330452
MEG125359,0.872297671,0.700258746,0.790876802,0.616557675,0.739799253,0.755381676,0.964120941,0.663660241,0.959517759,0.833273311,0.699122126,0.832060652,0.762938795,0.723829503,0.779984544,0.772897084,0.704636907,0.842550959,0.778480587,0.785788973,0.837681033,0.851298053,0.695733477,0.788821835,0.851335591,0.780815307,0.804130697,0.684070047,0.704225102,0.828420974,0.782446984,0.910720986,0.897796165,0.890024677,0.82962356,0.737546128,0.867353701,0.878216737,0.586066289,0.786354732,0.705211809,0.808812176,0.737420226,0.831209147,0.780407452,0.824782508,0.855133247,0.675684143,0.720986959,0.909364558,0.616118944,0.444390289,0.714917339,0.674148668,0.77670583,0.748566076,0.852593321,0.709870237,0.762476202,0.880965049,0.80046886,0.692319436,0.657657631,0.462027635,0.863127816,0.786928996,0.868485093,0.70536749,0.731091539,0.76042908,0.656920395,0.601854103,0.577645508,0.682325267,0.779663196,0.665577855,0.771289408,0.948185804,0.636459682,0.850179668,0.803908057,0.601635334,0.736598115,0.522321599,0.849334179,0.661588266,0.714273797,0.974035251,0.725249135,0.842403485,0.759318721,0.69480647,0.71536289,0.812276161,0.954337669,0.857127116,0.905628452,0.879399171,0.854783227,0.671507761
MEG125360,0.426913028,0.329983392,0.276561102,0.422791394,0.285790194,0.358858475,0.751808061,0.170595118,0.453442716,0.436645551,0.529634537,0.658776894,0.403055429,0.240312565,0.553536152,0.573108152,0.307893466,0.352494301,0.603893784,0.209000054,0.553635495,0.214009495,0.387672356,0.343611777,0.646470854,0.216992414,0.479721797,0.271296735,0.1614457,0.433351164,0.112363079,0.62601074,0.687024538,0.471690388,0.290301987,0.380357402,0.541324531,0.5276743,0.351846232,0.490736866,0.352811476,0.472332199,0.253365535,0.309704413,0.459762722,0.577085742,0.629002109,0.254798058,0.388146959,0.384595178,0.266644958,0.168943231,0.365264437,0.314030204,0.673287793,0.142117782,0.281739202,0.542841195,0.558354458,0.344048004,0.484354859,0.358229529,0.172614817,0.366294284,0.450703262,0.593511354,0.653159109,0.276277699,0.293203137,0.397713049,0.312565789,0.369442677,0.283862439,0.438028805,0.263505787,0.342993504,0.642655612,0.595001584,0.522276669,0.105785609,0.3183628,0.352296578,0.247688305,0.223212419,0.331127516,0.429498575,0.490130349,0.489275059,0.131007355,0.244094951,0.197142824,0.461832347,0.336520303,0.407325306,0.786736128,0.36812441,0.225630717,0.617210747,0.681263671,0.27327927
MEG125361,0.826939542,0.600765209,0.670451557,0.587974625,0.655357486,0.570373379,0.93064255,0.624331387,0.938486748,0.721040794,0.654947063,0.797600851,0.6558139,0.558970358,0.760607648,0.635480459,0.545719266,0.656953789,0.724662897,0.707595545,0.707413224,0.645692736,0.68936495,0.721733527,0.796829436,0.706414371,0.821869661,0.570227568,0.523465931,0.726137349,0.612091771,0.903257246,0.877361286,0.776475485,0.780639611,0.692466903,0.841180469,0.83474075,0.580755933,0.73846468,0.683310857,0.681636202,0.666286762,0.831956759,0.671724056,0.732226286,0.76643683,0.5557602,0.625557725,0.866573229,0.528502365,0.39496531,0.480967337,0.554026349,0.759902506,0.648423395,0.733641444,0.690115204,0.701523806,0.767639924,0.772710566,0.575645291,0.586317853,0.424676435,0.818713911,0.725941091,0.856298355,0.621984748,0.579074097,0.717556753,0.568442447,0.56593887,0.386089255,0.604829617,0.664180878,0.349973199,0.754569208,0.945802707,0.607463359,0.628562637,0.539725092,0.5780638,0.525076646,0.473902789,0.834425444,0.605017239,0.684862871,0.898758629,0.432022225,0.753937932,0.607437402,0.643390569,0.70132466,0.762510435,0.91591988,0.648324842,0.709757589,0.760312609,0.763679329,0.568699793
MEG125362,0.525170758,0.347511392,0.419082274,0.477718657,0.434205938,0.358047588,0.754406626,0.256533685,0.539884184,0.454147797,0.531787408,0.678889406,0.371853309,0.358246051,0.650727396,0.642381337,0.297819629,0.396001077,0.660678694,0.25796672,0.547570513,0.398653814,0.365891897,0.607375326,0.622174227,0.259794405,0.571860732,0.386318328,0.268651064,0.38942936,0.137321491,0.79191163,0.744915718,0.674150013,0.381677459,0.516588399,0.54775162,0.636462375,0.360675166,0.477390169,0.393301732,0.567893265,0.314723995,0.634525316,0.526186581,0.677376606,0.693593446,0.264952554,0.314873636,0.483399735,0.298057689,0.451746038,0.419409161,0.488349516,0.678711159,0.140039283,0.301448828,0.598494988,0.549297658,0.455350507,0.482047682,0.352097573,0.214082962,0.392597641,0.681364329,0.640513046,0.654153866,0.302268352,0.404044337,0.643856289,0.328667011,0.453818565,0.384416893,0.569593701,0.371170256,0.388586052,0.668696169,0.840603312,0.509337929,0.103446752,0.310861261,0.501610047,0.379897218,0.233363719,0.550577157,0.472970479,0.579955765,0.751544739,0.141933628,0.424236395,0.214671796,0.463485946,0.309276498,0.590721126,0.780324856,0.367967111,0.281963521,0.51729727,0.718614664,0.305536063
MEG125363,0.413809306,0.295928642,0.23841919,0.468768221,0.301827412,0.321501273,0.474131343,0.166687813,0.206217036,0.356773033,0.536931944,0.414055391,0.204650914,0.190813575,0.500920834,0.401674953,0.219495168,0.351323514,0.562495915,0.196668985,0.494521754,0.207244762,0.370374206,0.243721196,0.569631728,0.191768906,0.19408545,0.216543369,0.157793472,0.33733457,0.085242309,0.615214543,0.658439519,0.255591175,0.248496944,0.249978594,0.531485797,0.485229524,0.335405358,0.443776226,0.236633882,0.445611371,0.151552843,0.265672273,0.439288104,0.516150254,0.582650785,0.182702168,0.299774169,0.199733926,0.254447529,0.388611963,0.268174475,0.309285005,0.343200177,0.134821412,0.31093769,0.276150233,0.514386741,0.29143758,0.46861426,0.31892262,0.137863497,0.303584958,0.400296827,0.452277178,0.567559252,0.269094431,0.283748247,0.394483846,0.290610861,0.306997121,0.313151361,0.453753812,0.25003738,0.374054396,0.534696965,0.545129953,0.489205511,0.102548788,0.20618822,0.383561758,0.269610007,0.210617238,0.260573032,0.435554844,0.473501963,0.494266872,0.111778234,0.232225165,0.1186124,0.457087096,0.236877389,0.369552755,0.675403628,0.327888296,0.165077688,0.436923973,0.619875989,0.276587727
MEG125364,0.490511205,0.343392375,0.269274697,0.452421571,0.406938316,0.394953418,0.615577422,0.224367769,0.27596283,0.488606318,0.525446817,0.349366003,0.361388794,0.225948542,0.56911589,0.54892644,0.254983607,0.459685309,0.604734401,0.197425556,0.535515923,0.216744168,0.386523078,0.351222903,0.649727115,0.22504581,0.197915747,0.23949279,0.178580222,0.381969953,0.136884996,0.605361805,0.634769463,0.191112224,0.286510801,0.269253149,0.584660565,0.548312064,0.324196997,0.48511516,0.345552265,0.47751584,0.180716883,0.252424604,0.444286952,0.527219993,0.656734089,0.182020104,0.48773663,0.372026113,0.26499716,0.409684259,0.283539312,0.309019345,0.592588087,0.181378893,0.350674859,0.322260437,0.527177123,0.339614676,0.449736566,0.344292762,0.161832265,0.351642796,0.438847907,0.645430348,0.641514087,0.288918089,0.334510161,0.349092085,0.298780639,0.371125702,0.311529565,0.440112393,0.272672746,0.338703922,0.602312489,0.602445129,0.467278281,0.09481565,0.231129131,0.423542939,0.284216634,0.231425222,0.282555286,0.389952709,0.492592159,0.492613346,0.118935293,0.337703855,0.139434797,0.440097867,0.40560999,0.414424961,0.848023924,0.401228254,0.22207312,0.672989236,0.678608375,0.278332727
MEG125365,0.936140246,0.856093804,0.837136177,0.816695206,0.849626759,0.780761451,0.974901583,0.879241637,0.96265163,0.869863481,0.753035992,0.798030367,0.876770102,0.683266525,0.819785246,0.767326903,0.81891357,0.893454921,0.869413105,0.789592734,0.878255827,0.878369506,0.714351944,0.837071525,0.894600188,0.865603764,0.917219514,0.930788636,0.789243055,0.75981715,0.85826113,0.946270466,0.908369579,0.942414863,0.908502036,0.756684754,0.893677948,0.918264614,0.819017814,0.853856948,0.785304371,0.830041495,0.857478734,0.907876595,0.839034336,0.935651426,0.920463285,0.833083621,0.785196709,0.914598987,0.834694076,0.613952488,0.85128129,0.664991969,0.898731273,0.840116073,0.89985287,0.852816166,0.801934743,0.920570253,0.792578704,0.779675423,0.873686539,0.671544573,0.90156112,0.767948651,0.936434634,0.757291211,0.826611687,0.740477745,0.721980772,0.722576732,0.46550915,0.769971109,0.835885805,0.587630935,0.714053156,0.949752229,0.761590344,0.947311095,0.905372762,0.761141724,0.855476567,0.676948102,0.893644211,0.656447599,0.85129555,0.980721018,0.613773735,0.893385686,0.826506735,0.587990365,0.840504929,0.957592071,0.928189121,0.867106188,0.958010195,0.762250518,0.889153865,0.852525414
MEG125366,0.446502028,0.590896533,0.448672853,0.459225942,0.498992253,0.168130985,0.76562093,0.400929539,0.662062489,0.159420811,0.542003171,0.48158517,0.239646777,0.198616406,0.739498011,0.568193381,0.338054774,0.281571963,0.622559316,0.19412415,0.392799528,0.340075508,0.571714072,0.659181741,0.130956148,0.294622846,0.541969048,0.556235113,0.156076436,0.350537961,0.16693515,0.685692455,0.568126384,0.534780833,0.462704149,0.547178621,0.586080149,0.483813345,0.259901191,0.473749567,0.388337015,0.658183496,0.334477239,0.787270528,0.392871659,0.505806142,0.69212701,0.322047546,0.433697276,0.332944695,0.354214315,0.543117394,0.557665286,0.538936349,0.635903825,0.102829905,0.31706706,0.700239846,0.387630231,0.291443232,0.363772149,0.420142002,0.220599346,0.253194397,0.57106753,0.488808288,0.539134356,0.479032807,0.422242304,0.51406317,0.137724159,0.418450681,0.239630838,0.59094792,0.508335532,0.183464848,0.651094914,0.753969771,0.42878354,0.340836564,0.30617179,0.461316256,0.586406173,0.220836602,0.815608597,0.242848402,0.478421918,0.747589544,0.183280299,0.40103218,0.165742741,0.335818363,0.440752971,0.670368094,0.5058001,0.263219597,0.212610192,0.370176775,0.634888795,0.413591336
MEG125367,0.478111308,0.361443405,0.286007356,0.412597966,0.352532677,0.386813984,0.807617296,0.179938896,0.601515418,0.545255137,0.528252022,0.686713495,0.453810771,0.23513811,0.555812549,0.579155286,0.29392352,0.365075569,0.644166911,0.217450659,0.628197669,0.20172439,0.410444586,0.44211275,0.660829054,0.218924755,0.465604613,0.28897086,0.2045502,0.454290791,0.110030868,0.659291161,0.681339983,0.51738312,0.40507284,0.524956186,0.545863053,0.591833266,0.359271378,0.560154133,0.38967504,0.476588885,0.407897105,0.300122004,0.47599261,0.674921982,0.670450656,0.314573271,0.395071109,0.408207588,0.284059804,0.152256899,0.364207937,0.402680558,0.676796336,0.165930357,0.29208698,0.545970477,0.559313821,0.364227113,0.491364154,0.36408427,0.241705158,0.40449317,0.590631564,0.592490219,0.707064518,0.296182445,0.316825652,0.44944963,0.338505065,0.378969394,0.284696812,0.46121661,0.255341362,0.383905063,0.661755934,0.764015686,0.530423875,0.109917223,0.382408123,0.362504304,0.272478094,0.252752655,0.438940899,0.44778187,0.486584353,0.540636364,0.142898056,0.377752099,0.201448978,0.465765208,0.370546998,0.440780603,0.794884863,0.400965373,0.546266147,0.623597321,0.706845782,0.323284873
