NUTSM,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10,rep_11,rep_12,rep_13,rep_14,rep_15,rep_16,rep_17,rep_18,rep_19,rep_20,rep_21,rep_22,rep_23,rep_24,rep_25,rep_26,rep_27,rep_28,rep_29,rep_30,rep_31,rep_32,rep_33,rep_34,rep_35,rep_36,rep_37,rep_38,rep_39,rep_40,rep_41,rep_42,rep_43,rep_44,rep_45,rep_46,rep_47,rep_48,rep_49,rep_50,rep_51,rep_52,rep_53,rep_54,rep_55,rep_56,rep_57,rep_58,rep_59,rep_60,rep_61,rep_62,rep_63,rep_64,rep_65,rep_66,rep_67,rep_68,rep_69,rep_70,rep_71,rep_72,rep_73,rep_74,rep_75,rep_76,rep_77,rep_78,rep_79,rep_80,rep_81,rep_82,rep_83,rep_84,rep_85,rep_86,rep_87,rep_88,rep_89,rep_90,rep_91,rep_92,rep_93,rep_94,rep_95,rep_96,rep_97,rep_98,rep_99,rep_100
AD,0.701672572,0.570480861,0.509757039,0.630256931,0.515741867,0.671073796,0.76082868,0.536175392,0.359781554,0.322671488,0.561701744,0.748941421,0.566055901,0.469032941,0.531045947,0.641929294,0.644944811,0.67780125,0.650975565,0.432402785,0.662980391,0.328216368,0.445318639,0.531787645,0.713661108,0.518090184,0.140846248,0.511527777,0.317846826,0.50070988,0.454725975,0.583508347,0.629729236,0.619125432,0.421723262,0.370687418,0.465596648,0.548093053,0.459077979,0.426782191,0.518373935,0.452855175,0.322736295,0.241347105,0.513168569,0.71315454,0.628835098,0.452789608,0.552056515,0.519881463,0.20540943,0.538021724,0.513414456,0.306301917,0.612790745,0.422510275,0.481047594,0.360546012,0.545659135,0.390364682,0.36305878,0.394568865,0.473475073,0.447823663,0.334063276,0.541215959,0.462980136,0.327493654,0.328548579,0.302378059,0.687324592,0.450197808,0.364803002,0.440283311,0.330628064,0.4281874,0.523102816,0.625100267,0.498677709,0.518771177,0.53979558,0.484410636,0.410743224,0.38942463,0.514829184,0.698118195,0.597460255,0.87803178,0.478321772,0.591835133,0.29764811,0.513388882,0.407500601,0.463618866,0.828284667,0.524337904,0.697195932,0.421086576,0.59450988,0.356016152
AL013,0.876083908,0.775061456,0.650617527,0.747872222,0.789779846,0.505730804,0.811072494,0.774513593,0.817737074,0.739546788,0.661019281,0.638293485,0.687119262,0.30226052,0.738331923,0.727426206,0.671389645,0.710364606,0.772819122,0.563678449,0.611904975,0.62804275,0.637727231,0.779595453,0.755108245,0.727661318,0.904912258,0.837040042,0.70096028,0.635729876,0.379968657,0.909424811,0.734434321,0.8914996,0.793589217,0.661438369,0.782615827,0.591962499,0.506590299,0.756709806,0.54770983,0.683532863,0.664844477,0.844360001,0.617353088,0.675108151,0.810547862,0.539751232,0.691508104,0.771368599,0.620993346,0.711908301,0.77829997,0.520881579,0.718928817,0.354564365,0.5248186,0.779241418,0.626199755,0.670081625,0.542257524,0.463544368,0.745284772,0.488512078,0.796062356,0.713463986,0.829207335,0.693120502,0.696833846,0.579839285,0.516656945,0.652975328,0.397465201,0.686511687,0.678638693,0.376943769,0.735496628,0.842898199,0.698545408,0.862335903,0.766979159,0.690858873,0.616669727,0.39188067,0.864306652,0.47318647,0.794022026,0.941833587,0.357895027,0.689826261,0.471540455,0.48370296,0.798985856,0.882539065,0.828626476,0.686448302,0.784930402,0.389451315,0.651352783,0.629288518
AL015,0.903278812,0.779872677,0.745448312,0.781819367,0.835196227,0.774188363,0.96594888,0.856428527,0.962996633,0.852503581,0.747883955,0.782233342,0.913547334,0.659393853,0.734430226,0.84575116,0.797800898,0.869577192,0.816693633,0.764346621,0.851193947,0.818697036,0.696782244,0.793050601,0.879792248,0.840909481,0.911387073,0.906633422,0.877598287,0.743320568,0.814008607,0.945847154,0.895424919,0.926776856,0.891405871,0.763529333,0.833933592,0.889631218,0.826800001,0.860198809,0.718129915,0.778804033,0.874515336,0.870430448,0.847558669,0.913297798,0.919131894,0.819192254,0.7143442,0.906922174,0.754933701,0.47444503,0.826162705,0.64211768,0.821347333,0.769783188,0.810965074,0.821732625,0.792267579,0.915793958,0.78721666,0.747200071,0.880338159,0.626908468,0.905849192,0.668163712,0.937044913,0.757117874,0.826058415,0.697625472,0.72956595,0.720738638,0.440581949,0.767312227,0.824769523,0.516598841,0.764022284,0.946833556,0.744690165,0.922158839,0.897539409,0.691366963,0.794468188,0.767163399,0.878421941,0.694398087,0.869161439,0.974878525,0.641850907,0.850973703,0.822152004,0.665126507,0.854302676,0.875734036,0.915217085,0.893224919,0.952311776,0.749083693,0.86240357,0.803021789
AL014,0.898052037,0.782322243,0.758463652,0.853185526,0.827900325,0.718780274,0.970986557,0.872089903,0.959179962,0.871350608,0.718438288,0.680316032,0.894275443,0.667665716,0.770311157,0.84730278,0.842791515,0.890048013,0.799699122,0.723785697,0.855757808,0.804786369,0.691784729,0.828340702,0.885360163,0.828079926,0.888854828,0.887665879,0.866036658,0.773418784,0.872897043,0.933779868,0.880798242,0.878836538,0.893030944,0.792744773,0.852360019,0.880760479,0.827091394,0.868059604,0.662832298,0.783508999,0.845381278,0.84968853,0.797341795,0.918567585,0.883829988,0.792589083,0.665485205,0.89748402,0.729890977,0.630205016,0.815320159,0.651183101,0.817662533,0.833769979,0.774482063,0.811381283,0.766678604,0.907142147,0.756439817,0.712676956,0.870316703,0.486750383,0.907597719,0.704916494,0.905167785,0.748416355,0.823380047,0.577531332,0.758291678,0.679095628,0.53373655,0.710679305,0.822131467,0.656137291,0.794017791,0.943463371,0.771819287,0.945765468,0.879413995,0.738833114,0.858639054,0.697527229,0.868069015,0.645731314,0.856643694,0.969563101,0.672659908,0.819492088,0.790930809,0.616910563,0.847897119,0.855612847,0.925165351,0.850420805,0.964517828,0.752772805,0.849007515,0.745414769
AL011,0.8349734,0.677349695,0.737307555,0.763627928,0.779487489,0.31138728,0.945020735,0.764434265,0.927291217,0.601625269,0.610869391,0.648356489,0.783450477,0.399387541,0.731740282,0.787401051,0.738132214,0.720553715,0.691870415,0.594253234,0.556214267,0.790926176,0.625925679,0.765180493,0.397099747,0.727837098,0.83674877,0.821011737,0.842984624,0.444034469,0.716390938,0.866888686,0.63575284,0.834604701,0.823971475,0.720584549,0.634039306,0.594259306,0.614587242,0.768028263,0.659173911,0.746610972,0.811122818,0.836307676,0.694394352,0.663631395,0.801045232,0.539579577,0.698405652,0.751249195,0.527413499,0.698040144,0.75573637,0.558454133,0.657789391,0.470557884,0.473798534,0.763569001,0.450277801,0.723699446,0.621250569,0.427056403,0.571210036,0.437389688,0.840702676,0.677918104,0.772687609,0.687125901,0.579268393,0.515452064,0.525355738,0.530531789,0.454778004,0.639505012,0.70402484,0.44929244,0.742630474,0.801798291,0.663872939,0.89119922,0.822353628,0.643065357,0.765375405,0.407852343,0.836589582,0.321755804,0.629955177,0.971264096,0.343780783,0.674166256,0.420996141,0.528426601,0.721813869,0.846872685,0.878620092,0.737263585,0.915247988,0.435928059,0.795745673,0.672934492
AL012,0.971760827,0.896077413,0.895322363,0.872072491,0.907589903,0.941181225,0.981970066,0.915916167,0.993260428,0.933236249,0.795300256,0.763126129,0.940634883,0.863182903,0.903794897,0.902484372,0.942790373,0.94569511,0.884425466,0.841547578,0.917929614,0.956728644,0.794856068,0.904072206,0.946700181,0.86551516,0.945560969,0.955735329,0.916893201,0.804942352,0.979286069,0.96410514,0.861928915,0.97213919,0.893539817,0.764798056,0.934428687,0.87366184,0.830538874,0.898926796,0.816840134,0.865681062,0.925474097,0.917708079,0.886630642,0.970606416,0.947470179,0.79483376,0.83479762,0.92661616,0.8242218,0.851348666,0.896346847,0.695343432,0.913395984,0.939422796,0.925081994,0.862654841,0.906208359,0.913177084,0.830782664,0.773768245,0.769662561,0.807040335,0.927533533,0.829518083,0.970534983,0.791910217,0.834265737,0.595251541,0.880254456,0.847450757,0.825675502,0.823486942,0.836476227,0.885199791,0.879722411,0.968680572,0.848788576,0.965769198,0.919392815,0.849176862,0.922987068,0.89345377,0.924920231,0.840814603,0.926926067,0.985098686,0.948180275,0.837250015,0.889069871,0.504933603,0.884548177,0.943099271,0.955727024,0.93048242,0.989681791,0.714353675,0.895872314,0.882589796
AL021,0.955747019,0.803170381,0.856490153,0.837731156,0.850566655,0.801314786,0.983551518,0.914619528,0.982314971,0.933696594,0.735238684,0.890295305,0.946191371,0.691690444,0.845893872,0.841131873,0.878210741,0.941091781,0.904892751,0.846194084,0.859858764,0.924688383,0.80862649,0.884437649,0.781036647,0.861535466,0.95632139,0.934728215,0.961074689,0.503563365,0.945977776,0.956361316,0.736680911,0.965584489,0.957101655,0.808041594,0.862462595,0.802427374,0.803864099,0.842510936,0.797946946,0.853314905,0.879971489,0.900351084,0.848278372,0.907232065,0.928218715,0.763661959,0.881612355,0.780051558,0.784344496,0.832575421,0.864558846,0.735586771,0.891845546,0.684409995,0.84080217,0.848650197,0.876474249,0.887419298,0.865606197,0.664243909,0.853252105,0.524371462,0.890743105,0.895546456,0.95732532,0.806811312,0.852788107,0.835909951,0.77996287,0.641614384,0.729282339,0.873356846,0.858485711,0.783620739,0.821746618,0.960175019,0.854895725,0.956746413,0.885139339,0.82917576,0.906075118,0.88667434,0.908493853,0.373220156,0.958429466,0.97738109,0.322753661,0.729271388,0.564505761,0.738479849,0.883312518,0.953355419,0.93116513,0.936825778,0.941180472,0.530435213,0.893868647,0.878709226
AL022,0.977950366,0.857034653,0.918602316,0.866864106,0.886800793,0.957027612,0.986968277,0.941027164,0.994958655,0.957713835,0.778119592,0.904437002,0.962842003,0.863067692,0.922608492,0.910221464,0.96615427,0.978575429,0.924201965,0.896592566,0.944028492,0.963306507,0.857399795,0.918141256,0.965721673,0.890674766,0.963306037,0.95003977,0.977495837,0.862303312,0.973522023,0.963830387,0.73020642,0.979676328,0.963964961,0.824353895,0.943518766,0.874715273,0.865673561,0.899485548,0.848980297,0.889339141,0.94870946,0.92381563,0.887010591,0.96228933,0.965664584,0.696726932,0.901588259,0.953030714,0.897952413,0.89941729,0.93162399,0.817184311,0.900335884,0.964253026,0.954715027,0.870679823,0.926804575,0.932527974,0.873589091,0.650294577,0.886287698,0.852061051,0.914707369,0.926149363,0.960642289,0.848060465,0.885956326,0.805906818,0.881671933,0.851316792,0.877629831,0.879965179,0.888001077,0.937467999,0.898069789,0.966238063,0.887127144,0.974796745,0.929739884,0.892198035,0.937474815,0.899630603,0.926056702,0.868744248,0.95599835,0.983807342,0.957849819,0.777006493,0.918594852,0.790570341,0.919074012,0.948596356,0.96254583,0.973407962,0.987486184,0.61519281,0.910890072,0.905218646
AL034,0.661382678,0.4114431,0.376583399,0.574989257,0.517170417,0.119184143,0.613550547,0.64297703,0.111501592,0.264823315,0.316479578,0.335703045,0.346505612,0.209828512,0.236901817,0.562272119,0.428381446,0.339877279,0.329155877,0.417119869,0.227772375,0.272465028,0.407670849,0.24683737,0.563468943,0.525756437,0.563864827,0.377081349,0.802395578,0.476876788,0.37941553,0.689550148,0.416312627,0.351894089,0.486307739,0.539916831,0.569716665,0.5836378,0.557677606,0.433284769,0.445684218,0.313849413,0.357251068,0.33313979,0.417667104,0.556023916,0.693754288,0.527920622,0.294834703,0.313780909,0.474685106,0.357256615,0.317730085,0.427494968,0.42323603,0.208759825,0.408790068,0.483825724,0.150428422,0.608340824,0.462243501,0.42511661,0.631569738,0.179222512,0.761744315,0.468898637,0.488227755,0.440839351,0.622126257,0.462724722,0.623536839,0.383898509,0.212411945,0.342717705,0.646048494,0.217879266,0.427225959,0.612105065,0.275872525,0.716054968,0.666188926,0.418772474,0.485609479,0.351048079,0.559549953,0.458869824,0.771745687,0.793150595,0.408317973,0.654722704,0.69256855,0.45107482,0.644586089,0.314072228,0.399141375,0.436585958,0.385731457,0.195819008,0.340619825,0.384189606
AL031,0.854450917,0.6728408,0.754322371,0.722420045,0.701039786,0.389623974,0.952145434,0.825300425,0.933476392,0.587729832,0.628921484,0.568802043,0.787427879,0.515900811,0.741730844,0.773132228,0.836213207,0.808099651,0.686434649,0.489567758,0.629624821,0.506091272,0.653605939,0.737593533,0.422532084,0.776092109,0.811518691,0.852964282,0.818396869,0.444175406,0.74176814,0.757296511,0.579028423,0.648409986,0.798738814,0.767899218,0.67236132,0.729449574,0.678119031,0.812461392,0.511584439,0.765124092,0.70384765,0.79610032,0.574894929,0.796624043,0.810234735,0.645853427,0.719572353,0.693575477,0.340989584,0.659443373,0.748455977,0.574565849,0.669710038,0.477083587,0.429568389,0.802098089,0.571362575,0.637896663,0.636469812,0.529376804,0.638398089,0.317413881,0.824027671,0.579009148,0.745394706,0.719000915,0.556533648,0.382337447,0.565805724,0.551394935,0.541347952,0.603846732,0.693722097,0.541988709,0.790061457,0.828072791,0.694127759,0.881891733,0.768859941,0.730654245,0.858471861,0.439563856,0.822017617,0.448559258,0.613912555,0.967668433,0.410056967,0.648162734,0.389935969,0.574778799,0.726211202,0.801981391,0.578916096,0.719698968,0.872665434,0.485763742,0.814288634,0.670076852
AL032,0.92601456,0.785854393,0.847189513,0.715951318,0.775619422,0.719692135,0.9643285,0.828736918,0.977723548,0.716850261,0.666880281,0.640449747,0.829053613,0.67917915,0.855074832,0.845886009,0.921614286,0.770305172,0.697633922,0.651544021,0.727107898,0.817465813,0.724713532,0.843094097,0.592123131,0.796995343,0.843900275,0.924570478,0.785735957,0.471927814,0.853294297,0.820940749,0.583326832,0.794900685,0.766599418,0.719588741,0.728564495,0.719004068,0.662599344,0.832905789,0.634505577,0.835614555,0.820821319,0.850326351,0.673135141,0.869995197,0.819162109,0.651576447,0.771217149,0.719917709,0.586000911,0.738568705,0.783007261,0.544393399,0.712899283,0.74919102,0.570793058,0.835331114,0.721722172,0.699822993,0.708359313,0.564201315,0.612242029,0.684509456,0.861121721,0.636964487,0.86902711,0.728317237,0.557647645,0.419416104,0.680467543,0.727567752,0.752480097,0.720420638,0.733205171,0.800141666,0.875951679,0.865768209,0.770284999,0.893149748,0.803272429,0.817599112,0.890994002,0.713732979,0.877709269,0.627807823,0.723702944,0.979926036,0.799966891,0.663385191,0.463996167,0.583717555,0.771492482,0.913788962,0.722093281,0.798384525,0.947147034,0.539006917,0.825776411,0.793241628
AL035,0.773381532,0.310057756,0.765806535,0.662251244,0.46190995,0.358310965,0.905335451,0.712104561,0.891168015,0.503537477,0.516160071,0.463398195,0.615357291,0.38801095,0.714844346,0.527345019,0.90655093,0.476255678,0.626951338,0.369601775,0.274062231,0.596398489,0.630546554,0.752302489,0.463409047,0.628395445,0.721486319,0.494322506,0.785867699,0.385588604,0.517537519,0.692456406,0.512613791,0.237326512,0.63691091,0.500493858,0.448408493,0.586190096,0.627412321,0.66135722,0.515561565,0.642675572,0.509023973,0.433006693,0.496459941,0.522646294,0.601758018,0.378255916,0.567996421,0.643065046,0.420457172,0.607244769,0.751825802,0.461113054,0.478175363,0.406788316,0.181015956,0.554656095,0.455251435,0.42738091,0.480820253,0.429966127,0.400490687,0.442332522,0.812383317,0.643312899,0.47359097,0.538906777,0.484522342,0.354104975,0.718051199,0.48580651,0.567756643,0.452749089,0.618031455,0.61299323,0.788334941,0.812233236,0.452699837,0.779118209,0.526090276,0.663754846,0.85696168,0.389934619,0.650877937,0.464876786,0.367868356,0.897278747,0.61370428,0.490592207,0.358240003,0.47437929,0.574604772,0.721963022,0.36346687,0.766976172,0.810500443,0.235184516,0.722254145,0.390116481
AL033,0.781934165,0.382729752,0.716136848,0.670437065,0.375491322,0.293722147,0.896654483,0.719232856,0.837454729,0.311121427,0.49504164,0.39595435,0.624327749,0.27858992,0.646839744,0.519724428,0.830681618,0.50488429,0.404001458,0.272399119,0.298908008,0.476627574,0.550323169,0.70037745,0.483864744,0.6080368,0.698916216,0.469561616,0.748492786,0.45224649,0.53759904,0.684122243,0.415066748,0.133951661,0.514596773,0.564146986,0.422233334,0.480146321,0.660441508,0.665726963,0.491798332,0.582191311,0.301848322,0.343720678,0.425190066,0.393278727,0.612174764,0.427053326,0.489355725,0.491470176,0.30135256,0.52342844,0.730460664,0.497969881,0.418686615,0.2758929,0.285560826,0.454987646,0.365977383,0.557303708,0.430065822,0.420645991,0.545906793,0.3489607,0.806251595,0.557550415,0.48794968,0.512193161,0.474550582,0.367397351,0.627177749,0.479667259,0.407586565,0.364964485,0.585535729,0.482682573,0.687313286,0.677906274,0.397081699,0.734266491,0.561452196,0.660749904,0.773877336,0.381506759,0.695799974,0.392117643,0.413896499,0.897051568,0.325535392,0.513038496,0.334513955,0.334686274,0.618623112,0.6876579,0.368258573,0.798953107,0.743323457,0.2278438,0.68116163,0.353929914
AT11,0.854224746,0.619009497,0.548213629,0.570376032,0.571116257,0.419102613,0.394220809,0.712897686,0.772835059,0.407305469,0.540082972,0.715520315,0.57871183,0.250749982,0.595024446,0.402177397,0.611860913,0.518112233,0.666386558,0.640515628,0.225618475,0.263156195,0.654122797,0.841174782,0.278371589,0.545906724,0.761887496,0.6746804,0.542200892,0.399318137,0.631891237,0.808843573,0.63932665,0.705765759,0.858282571,0.44308584,0.405053558,0.291545095,0.522823179,0.421276706,0.660440383,0.405375967,0.490258303,0.470079994,0.572862585,0.256579114,0.423815939,0.420966766,0.748440521,0.285416014,0.393758855,0.750008401,0.609705691,0.554309395,0.535308792,0.119507728,0.480545,0.475579296,0.612848121,0.378493145,0.638370388,0.400342091,0.328009454,0.425674555,0.733274386,0.822113552,0.726624958,0.588887423,0.628873821,0.58869762,0.600259332,0.606358323,0.257958027,0.767043673,0.594728435,0.307353635,0.775500898,0.441440214,0.54532309,0.801427913,0.634394611,0.5328372,0.696098542,0.842649069,0.826830867,0.372818698,0.826248016,0.888260912,0.162389379,0.666602286,0.250172844,0.326994846,0.577784538,0.632033929,0.655020547,0.742105286,0.356833895,0.18883238,0.446729517,0.438895673
AT12,0.571645641,0.420783102,0.486996626,0.479700214,0.444069025,0.237969683,0.356640543,0.508914448,0.419603578,0.319210191,0.331236651,0.605430987,0.442125191,0.204190323,0.485005695,0.508132743,0.577101884,0.345388187,0.403628675,0.332897959,0.371897143,0.264567948,0.376017698,0.84865856,0.288615974,0.660116508,0.393758984,0.624315165,0.178334853,0.372104508,0.211572092,0.508553821,0.392062011,0.588486219,0.720453588,0.30100688,0.248376425,0.353181005,0.307201254,0.298053081,0.437845286,0.388538382,0.304145821,0.343537519,0.528937659,0.229388697,0.372993754,0.279413502,0.683202182,0.24729538,0.195368211,0.424741798,0.677695165,0.533262896,0.472308886,0.239507914,0.304331191,0.352985463,0.330504403,0.284018643,0.332746205,0.282525869,0.248139276,0.543508668,0.693979606,0.827219455,0.593191497,0.351901684,0.362773997,0.524978977,0.576972218,0.389366808,0.376269771,0.649919972,0.3841991,0.309325703,0.668829935,0.471576843,0.347050025,0.452418278,0.556015921,0.496604387,0.559386147,0.701808166,0.72620087,0.437114642,0.32123127,0.846724591,0.097078798,0.597453986,0.215502007,0.386046997,0.299111341,0.63033944,0.550198586,0.493050298,0.238097903,0.159546942,0.513598389,0.291423604
AT13,0.893870886,0.808738322,0.707475298,0.62704619,0.723292024,0.710027793,0.643494015,0.726315086,0.699236652,0.572026721,0.713120505,0.843860959,0.840851381,0.501915769,0.690361877,0.71473024,0.862293031,0.738673486,0.581169597,0.720776368,0.574940349,0.322793422,0.707215366,0.893945731,0.800051913,0.77584856,0.892643259,0.566966704,0.944570531,0.833223867,0.889342116,0.885923188,0.836279371,0.794235609,0.904530187,0.49883138,0.673128974,0.575709056,0.814267683,0.561574327,0.810973249,0.514948741,0.607351301,0.645242323,0.648613255,0.500069693,0.617121668,0.619362588,0.758023882,0.758806941,0.707768803,0.870054858,0.870223872,0.622764657,0.562568395,0.721410385,0.793546347,0.497994606,0.736638053,0.76356557,0.668245111,0.512354198,0.767351721,0.649333311,0.854046161,0.88881118,0.894363601,0.708945981,0.703912014,0.650368,0.870278303,0.813602728,0.563366335,0.821781705,0.721707751,0.497454575,0.786290712,0.542421828,0.452463663,0.916214382,0.660709946,0.646081067,0.747407223,0.840372306,0.845367922,0.714561504,0.800039434,0.92716872,0.617668044,0.848750893,0.702578971,0.655856165,0.878296392,0.823371727,0.696764842,0.912350447,0.580194281,0.45476742,0.615726863,0.436827181
AT21,0.259636026,0.328510267,0.264396096,0.417634344,0.264802821,0.650369013,0.559486491,0.216139061,0.452736371,0.436210515,0.55483547,0.723373503,0.744147841,0.276112138,0.378751555,0.539146441,0.203033343,0.247254514,0.595667269,0.283018574,0.796138142,0.26280616,0.383160061,0.414431049,0.553805022,0.323790907,0.114622568,0.562686537,0.317740013,0.265895837,0.228280866,0.455758893,0.654474691,0.579267876,0.614150279,0.408299926,0.639974495,0.638488644,0.440835425,0.597544096,0.431596769,0.431964376,0.376571595,0.291881165,0.516910006,0.534234715,0.41297525,0.429943774,0.443299857,0.477257372,0.379599039,0.436783616,0.38803143,0.272210629,0.667876793,0.417251385,0.409504316,0.554768953,0.702858998,0.339820065,0.432493861,0.413258182,0.567666563,0.556678705,0.268713114,0.538596763,0.743628508,0.214654599,0.258337962,0.302955753,0.267725029,0.38477184,0.390788536,0.632891577,0.289016395,0.384747009,0.531870954,0.753972741,0.554170452,0.235907714,0.38181719,0.368180579,0.258019488,0.615393316,0.583012879,0.500823933,0.469804668,0.059095425,0.219025643,0.17339262,0.218315067,0.539932403,0.312308354,0.404318094,0.65129497,0.377161621,0.474399453,0.572402361,0.767358993,0.350609468
AT22,0.222625212,0.258957383,0.235631541,0.417098449,0.239698985,0.529797342,0.42366748,0.195805431,0.535853136,0.285852576,0.513922706,0.686174072,0.699010193,0.181116724,0.343579301,0.453609545,0.228768808,0.222678291,0.483557459,0.173638719,0.667934074,0.209068538,0.316859156,0.396196495,0.584323333,0.339619345,0.115438174,0.369253633,0.174887104,0.262953338,0.157842036,0.481954053,0.566133483,0.431574859,0.547187718,0.354248171,0.344953228,0.524381722,0.424132237,0.458165005,0.352755049,0.404349536,0.291643573,0.168425186,0.417871166,0.394034506,0.330670758,0.412338536,0.43369047,0.433240856,0.327225612,0.34549805,0.424099207,0.277707943,0.525973036,0.299007492,0.30681595,0.381743622,0.52342004,0.30587568,0.374308048,0.352234896,0.551603459,0.531300163,0.321091056,0.438324357,0.490624547,0.209469191,0.237957771,0.263276897,0.237575301,0.343284547,0.368242002,0.558958149,0.248891268,0.371259734,0.479213628,0.532498456,0.384098792,0.208345515,0.287070025,0.35063202,0.231529621,0.615027868,0.467751535,0.476162993,0.318534133,0.096439733,0.176117319,0.175749311,0.199965474,0.44131128,0.28638585,0.37736321,0.303693554,0.323877411,0.250310787,0.382706309,0.612540148,0.240432507
AT31,0.068083957,0.199983222,0.212514821,0.278474159,0.197794803,0.18916757,0.109759542,0.093982903,0.267348745,0.235385395,0.319419303,0.169149341,0.458531525,0.168516577,0.283811723,0.242776238,0.470551599,0.110281881,0.362861482,0.141531977,0.252078203,0.118002135,0.313913787,0.237257634,0.276573603,0.171014459,0.070238846,0.172878034,0.056891204,0.218333266,0.03948404,0.199079513,0.262254219,0.071785866,0.280694098,0.186802509,0.201256739,0.16361143,0.274207704,0.232716567,0.163541967,0.35051881,0.176292639,0.099071725,0.289790374,0.136281631,0.138591563,0.181393744,0.425944244,0.123080565,0.189945237,0.28538749,0.342325791,0.26326705,0.201160056,0.170318142,0.212751622,0.187219292,0.246551623,0.165185642,0.265103443,0.258302698,0.169866738,0.42925124,0.275531741,0.22341059,0.217270061,0.178479423,0.200822252,0.246245684,0.300907828,0.244738013,0.298240681,0.434989098,0.189151393,0.516659066,0.445375806,0.143387575,0.235538604,0.120563782,0.153638247,0.27301605,0.18762693,0.51871777,0.129534511,0.218347139,0.171941462,0.046276451,0.092526625,0.087205623,0.112861565,0.370448203,0.340101466,0.290808917,0.129191982,0.334783703,0.293412215,0.233941069,0.477617126,0.126551428
AT32,0.187632804,0.303063094,0.283645835,0.366244591,0.229170005,0.692186425,0.53809103,0.225044208,0.458914936,0.42758586,0.54135256,0.566908042,0.778770728,0.297661684,0.401770747,0.515890416,0.303285148,0.276647969,0.609444472,0.294481077,0.836052501,0.251710775,0.359112376,0.361210142,0.525632381,0.277593905,0.119227781,0.530155784,0.194437025,0.329660447,0.143013875,0.449116969,0.624282709,0.683250586,0.54704122,0.399129489,0.550706874,0.457830554,0.399046993,0.560547826,0.444554688,0.451905745,0.356355417,0.261889253,0.495275982,0.481135955,0.390761078,0.397109594,0.431647135,0.492906913,0.373733621,0.183485644,0.44981472,0.27070496,0.648307581,0.425493943,0.478249326,0.509127807,0.715208046,0.289962662,0.404702112,0.407911667,0.517849407,0.545107687,0.274475827,0.563434227,0.677893437,0.21661104,0.248999409,0.281354976,0.27720232,0.366501531,0.3461808,0.553992011,0.305226052,0.504118821,0.560443781,0.749283182,0.550296359,0.131121691,0.352011684,0.330542571,0.28372336,0.594874975,0.568447874,0.501066754,0.427779631,0.052790098,0.34229182,0.192402768,0.254065882,0.516114322,0.247443735,0.372634836,0.664125729,0.441477531,0.563131962,0.515990943,0.732676953,0.354329216
AT33,0.646164807,0.475501738,0.387546576,0.581535556,0.328398031,0.759142242,0.68725807,0.38098643,0.624962282,0.547024809,0.618509328,0.829493324,0.813933109,0.430749995,0.434932119,0.576276312,0.596980639,0.499878635,0.708652717,0.535852659,0.86069417,0.288591001,0.44264236,0.46576127,0.718428857,0.645284314,0.147629939,0.677094907,0.414025913,0.387034568,0.361681338,0.542955665,0.658431253,0.75545012,0.646194645,0.422140865,0.709436179,0.6389341,0.532720215,0.613215371,0.58854992,0.492117819,0.435467337,0.328788373,0.637960967,0.742201172,0.486308367,0.500742656,0.53556452,0.664986457,0.38275828,0.256754283,0.496016425,0.309980562,0.725621522,0.496476681,0.554647735,0.575092447,0.776616911,0.414346136,0.474785728,0.450106509,0.609522693,0.601873896,0.305233872,0.611126582,0.824395189,0.298753948,0.302422581,0.287402263,0.591416336,0.525710513,0.375154219,0.644737062,0.318489842,0.502360145,0.619567008,0.78327799,0.589752678,0.598363778,0.630421734,0.361947907,0.366123743,0.744699475,0.581842012,0.749414627,0.670528619,0.399103993,0.552886388,0.410378995,0.266060132,0.633870767,0.351495306,0.451500335,0.815363227,0.607408121,0.80213523,0.727555702,0.786614074,0.397859379
AT34,0.118984493,0.243703926,0.210353569,0.312028213,0.178142527,0.31382328,0.440480175,0.194750328,0.370479057,0.267390074,0.337611045,0.479380897,0.623514137,0.219625112,0.375219175,0.471705961,0.575553114,0.101714253,0.476031133,0.187677527,0.536247286,0.180271432,0.33310065,0.307519785,0.15562974,0.239700809,0.07243555,0.461420111,0.086227103,0.164440094,0.191178624,0.252857166,0.275467791,0.2808047,0.487468663,0.340274858,0.410671394,0.299242654,0.272124822,0.475859829,0.358470285,0.430403489,0.31196102,0.197224466,0.369273061,0.35403038,0.284228042,0.352384989,0.420928119,0.272044755,0.236549829,0.174406796,0.277743493,0.221939807,0.566453808,0.20742899,0.283165463,0.490368488,0.432200965,0.178454004,0.255179135,0.348449171,0.290923465,0.477901076,0.219454944,0.445785691,0.61352192,0.175434774,0.206516373,0.219000439,0.235618251,0.279373867,0.281644028,0.472645133,0.266781911,0.410881338,0.543872889,0.605785235,0.420108217,0.088309741,0.414891626,0.29171632,0.348265674,0.552090674,0.5294354,0.23822198,0.295864405,0.040231961,0.179970827,0.11349094,0.147148029,0.409180916,0.250640705,0.291998232,0.270811399,0.557762888,0.637340743,0.259285677,0.682946556,0.330132315
