"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"DK02",467174,474425.1875,486286.53125,483832.28125
"DK03",869968.75,871002.0625,873237.3125,847366.9375
"DK04",1181687.125,1205178.75,1242090,1244995.875
"DK05",404693.9375,410078.9375,418708.21875,416187.09375
"EE001",411702.84375,391514.125,362076.75,326231.9375
"EE004",95066.6640625,88718.671875,81280.3984375,72838.75
"EE006",319082.125,301492.65625,279019.15625,251534.046875
"EE007",54985.23828125,50701.62109375,46876.6484375,42617.22265625
"EE008",277289.5625,258232.125,239025.453125,215674.0625
"EL301",53925.125,53977.2109375,51906.98046875,47057.38671875
"EL302",33598.515625,33630.96875,32341.09375,29319.51171875
"EL303",19915.109375,19934.345703125,19169.7890625,17378.783203125
"EL305",578231.3125,578772.25,556558.5,504530.53125
"EL306",209877.5625,209385.4375,200765.65625,181120.328125
"EL411",22898.646484375,22308.951171875,20944.6875,18415.962890625
"EL412",5822.68115234375,5588.9453125,5192.12744140625,4445.49365234375
"EL431",195074,196192.09375,188459.390625,169452.84375
"EL432",14506.4853515625,14550.619140625,13933.35546875,12579.3671875
"EL433",46780.22265625,46177.953125,43151.7421875,37969.9375
"EL434",41381.79296875,40612.96484375,37825.5546875,33712.59765625
"EL511",56888.84375,53278.01953125,45781.62109375,37974.70703125
"EL512",78879.96875,76528.9140625,71582.1640625,64843.69140625
"EL513",73054.0859375,68895.53125,62336.875,55977.9765625
"EL514",136797.40625,135166.921875,128345.8125,115869.2109375
"EL515",40677.72265625,39980.72265625,37820.87109375,34069.16796875
"EL521",183135.484375,179909.40625,170048.0625,151394.90625
"EL522",537294.8125,535278.9375,515730,466455
"EL523",435597.46875,431295.71875,411805.59375,369226.5
"EL524",197934.265625,194077.03125,182254.078125,161424
"EL525",44190.09765625,43136.54296875,40590.05078125,35778.796875
"EL526",148279.796875,141838.4375,129775.203125,113830.5
"EL527",44015.6796875,43221.83984375,40688.4140625,35772.5625
"EL531",168690.734375,166890.578125,158478.625,142701.484375
"EL532",34786.21484375,34329.1875,32269.005859375,29493.166015625
"EL533",54930.6640625,54720.13671875,51846.19140625,47335.52734375
"EL541",62746.17578125,60511.5625,56626.82421875,49791.578125
"EL542",38970.3671875,37425.91015625,32931.09375,28317.9921875
"EL543",185901.78125,185895.78125,177423.78125,159950.5
"EL611",204133.34375,202544.21875,192878.46875,171837.328125
"EL612",275237.125,276616.84375,264425.15625,237185.9375
"EL613",115089.75,114073.2890625,108742.859375,96477.6015625
"EL621",5719.6640625,5581.54052734375,5258.12109375,4750.06298828125
"EL622",17695.0234375,17280.00390625,16129.291015625,14435.376953125
"EL623",49.1392440795898,47.9429359436035,45.5105857849121,40.2577514648438
"EL631",170907.671875,168219.484375,160389.578125,142455.265625
"EL632",140874.46875,141299.296875,136228.34375,122527.703125
"EL633",32208.302734375,30495.107421875,28040.263671875,23635.7734375
"EL641",261504.453125,260146.125,248804.578125,223597.28125
"EL642",376197.1875,376137.6875,361341.03125,326952
"EL643",42368.79296875,41624.8828125,39667.43359375,34748.90625
"EL644",111301.8125,107941.4375,100830.875,87660.828125
"EL645",57929.14453125,56719.31640625,53341.38671875,46762.0234375
"EL651",186600.625,182154.125,171413.8125,151305.390625
"EL652",81897.0234375,79868.359375,74967.859375,65826.1328125
"EL653",99909.9375,96327.7890625,89807.3984375,78607.4375
"ES111",756298.5625,755262.1875,766915.625,694345.125
"ES112",238235.296875,230515.015625,223906.421875,198516.09375
"ES113",308054.25,296179.78125,283868.9375,250295.46875
"ES114",184104.40625,175404.34375,167620.875,144940.375
"ES120",543602.8125,554745.5625,576120.6875,530680.1875
"ES130",426502.84375,428321.90625,434322.28125,395631.84375
"ES211",390060.1875,398768.34375,411035.65625,382487.78125
"ES212",286086.4375,288470.4375,296074.21875,275221.90625
"ES213",658668.6875,664366,678917.625,628644.8125
"ES220",856785.625,888850.3125,938807.9375,883939.125
"ES230",296478.8125,307019.46875,321975.0625,299291.21875
"ES241",317483.375,320991.59375,324853.09375,300993.21875
"ES242",141292.390625,141627.125,142310.109375,132516.046875
"ES243",953741,996778,1049666.25,985022.0625
"ES300",5825520.5,6065752,6377650,6008734
"ES411",199704.03125,200359.03125,202690.484375,188682.953125
"ES412",510162.65625,519805.28125,541721.375,505796.90625
"ES413",440495.875,447157.65625,468368.125,439956.59375
"ES414",215851.359375,219227.15625,227220.578125,212286.75
"ES415",313437.34375,323031.8125,337703.9375,315682.1875
"ES416",266404.71875,273982.65625,286586.21875,271441.8125
"ES417",123986.4609375,126200.6328125,130171.40625,121558.3203125
"ES418",404999.25,416671.71875,439942.21875,413715.875
"ES419",157673.09375,156816.5,156895.609375,144817.890625
"ES421",435154.875,453272.3125,472981.125,447201.15625
"ES422",522600.0625,532300.75,545047.5625,509364.6875
"ES423",263996.46875,271242.15625,280063.59375,263352.78125
"ES424",390207.0625,407522.34375,432884.71875,411007.0625
"ES425",2068532.5,2137401,2223435.5,2083118
"ES431",624627.1875,623595.5,619386.5,569814.25
"ES432",322823.28125,320129.125,317765.21875,292588.1875
"ES511",2226522.5,2288902.75,2380888.5,2205437.5
"ES512",592220.5,599955.8125,614924.4375,564831.8125
"ES513",517397.53125,526482.3125,540246.875,500240.3125
"ES514",578841.8125,592035.75,616104.875,571273.625
"ES521",1251844.5,1272939.25,1306384.75,1198934.5
"ES522",519978.78125,534334.0625,554876.0625,515688.34375
"ES523",748021.3125,761552.75,777831.1875,714178.875
"ES532",421739.78125,442334.125,461390.0625,431163.625
"ES611",218928.171875,218603.984375,217690.96875,200164.390625
"ES612",488250.8125,496483.53125,516135.875,481909.5625
"ES613",745591.375,764642.875,796746.4375,745636.375
"ES614",838190.0625,863945.375,886135.5625,825483.375
"ES615",569097.4375,580859,605109.875,565026.375
"ES616",579807.1875,585006,585726.25,542172.5625
"ES617",1095078.625,1122537.75,1161641.125,1070295.625
"ES618",1852743.875,1940952.25,2059713.125,1943703.75
"ES620",1149972.625,1164113.5,1172335.625,1066876.75
"FI193",282837.53125,276392.34375,268371.03125,252744.578125
"FI194",187381.171875,182960.296875,172206.59375,155371.46875
"FI195",91269.6796875,89935.296875,85652.1484375,78148.1015625
"FI196",195689.25,188256.109375,176152.234375,158831.1875
"FI197",512670.0625,509893.75,516039.78125,503755.5625
"FI1B1",1186235.25,1205009.625,1274314.25,1310392
"FI1C1",323291.21875,318261.75,307401.6875,286033.40625
"FI1C2",207960.296875,204148.890625,198526.28125,183121.625
"FI1C3",157597.59375,154519.828125,151139.9375,144356.265625
"FI1C4",132527.515625,129927.4140625,126645.921875,117233.8203125
