"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"AD",19092.22265625,19010.2109375,19565.505859375,21215.412109375
"AL013",151797.078125,152918.140625,149634.40625,144907.5
"AL015",215967.59375,210923.15625,202178.984375,196338.859375
"AL014",102793.640625,95316.7578125,83395.5078125,75296.0859375
"AL011",136943.421875,127230.578125,113090.2421875,103491.171875
"AL012",246083.625,241942.21875,216845.65625,198103.25
"AL021",393202.15625,378220.3125,338224.21875,309085.875
"AL022",751793.1875,741341.8125,665560.375,608569.9375
"AL034",169329.296875,160854.15625,145094.734375,134207.875
"AL031",103186.90625,93158.4921875,79968.453125,71635.53125
"AL032",228274.640625,211370.21875,183618.859375,165325.84375
"AL035",63995.17578125,59229.22265625,51787.8515625,47458.734375
"AL033",52718.578125,48269.09765625,42436.34375,38993.26953125
"AT11",388474.53125,374528.53125,343195.59375,320235.53125
"AT12",3292300.75,3311342.25,3315559.25,3332628.5
"AT13",446695.84375,457325.21875,470517.5,474528.15625
"AT21",645077.1875,631506.9375,611733.5,618958.3125
"AT22",1330383.75,1316156,1287145.625,1306009.5
"AT31",1543795.125,1503414.75,1405277.625,1334478.375
"AT32",522067.46875,525238.5625,541684.8125,585623.625
"AT33",881398.875,874564.9375,889519.3125,971732.375
"AT34",434442.46875,432345.03125,426344.125,414076.5625
"BAG1652",1723553.5,1604269,1394485.125,1288893.875
"BAG1653",1278561.75,1168525,994450.375,908981.875
"BE10",178698.15625,184765.203125,199453.25,227235.03125
"BE21",1443176.625,1466029.125,1508752.875,1589082.75
"BE22",1043040.75,1045147.75,1050387,1067701.125
"BE23",1454262.5,1488424.25,1561953.875,1694065.625
"BE24",1448661.5,1489745.5,1587769.375,1763861.625
"BE25",1223112,1260074.75,1342809.625,1483463.625
"BE31",710102.8125,731112,781620.625,870649.125
"BE32",1776103.25,1825248.375,1941252.25,2137758.25
"BE33",1241036.875,1240991.875,1250065.375,1275082.375
"BE34",405342.09375,401565.78125,394012.96875,390302.59375
"BE35",696278.6875,702982.1875,722787.3125,762217.3125
"BG311",95801.515625,87161.578125,77538.6640625,72947.578125
"BG312",116372.2109375,103041.4921875,89251.984375,83774.8359375
"BG313",137108,120920.2578125,104202.46875,97883.671875
"BG314",219667.21875,199461,176938.03125,166749.296875
"BG315",176201.859375,158045.703125,139472.375,132368.15625
"BG321",220675.953125,195017.875,167452.71875,157547.171875
"BG322",99911.015625,88585.8515625,76930.515625,72918.828125
"BG323",208162.328125,183644.65625,150662.484375,135440.3125
"BG324",99088.0078125,84268.796875,67883.3359375,61477.3046875
"BG325",159068.71875,144637.890625,127356.8984375,120466.5625
"BG331",408188.9375,373339.3125,322342.3125,303799
"BG332",171100.203125,151696,128910.640625,120719.515625
"BG333",151288.390625,129936.75,106476.9296875,97812.1875
"BG334",94075.078125,80522.40625,65863.8671875,60632.18359375
"BG341",329342.28125,299985.6875,254777.046875,237188.984375
"BG342",159762.75,140655.8125,117261.2421875,109631.8046875
"BG343",89175.9296875,81115.6953125,72449.1796875,68788.21875
"BG344",285999.59375,255072.09375,222047.21875,210600.609375
"BG411",649527.75,599733.875,533698.25,509853.90625
"BG412",843726.25,774982.4375,688983.8125,657715.9375
"BG413",246144.3125,224141.171875,200505.5625,191169.515625
"BG414",281548.75,259490.625,231316.890625,221027.53125
"BG415",111414.3515625,101174.6328125,90577.1328125,86472.8125
"BG421",667746.3125,617125.9375,553928.625,526581.9375
"BG422",227795.546875,204433.8125,178808.25,169957.109375
"BG423",239063.9375,214191.9375,188075.25,178129.484375
"BG424",93624.671875,85172.15625,77225.3359375,72906.4921875
"BG425",138968.515625,124542.2578125,110068.984375,104682.0546875
"CH01",1283085.625,1322889.875,1403843.5,1557494.75
"CH02",2018806.375,2070086.25,2171092,2331566.75
"CH03",841906.375,860314.875,885213.4375,911745.125
"CH04",943033.75,977515.3125,1031515.375,1097913
"CH05",1323487,1332992.875,1366198.25,1446766.25
"CH06",1284534.75,1328710.875,1395728.625,1477299.75
"CH07",424336.34375,421131.84375,410471.375,407162.5625
"CZ01",253482.5625,253477.6875,251341.40625,254947.96875
"CZ02",2360581.75,2324862.25,2246761.25,2228907.5
"CZ03",1338335.625,1289291.5,1244325,1312915.875
"CZ04",1305367.125,1265781.375,1219107,1212794.25
"CZ05",1605824.125,1522871,1414782.75,1357476
"CZ06",1665770.625,1620932.5,1588467.875,1661253.375
"CZ07",1194541,1132839.25,1055410.125,1032451.125
"CZ08",1240288.25,1193200.875,1128832.25,1099062
"DE11",3881418,3803772.5,3739025.5,3789256.25
"DE12",2550998,2492068.75,2407526.75,2372335.5
"DE13",2508238.75,2498475.25,2535627,2672520.75
"DE14",2138192.75,2089444.375,2090275.75,2209206.75
"DE21",4698538,4689533.5,4942293.5,5560706.5
"DE22",1249770,1189180.875,1128726.875,1185456.375
"DE23",1296531,1250053.375,1202985.5,1250600.625
"DE24",1058137.625,1004145.375,925854.25,904391
"DE25",1613466,1576072.5,1523174.875,1527597.5
"DE26",1235849.5,1169062.125,1062110.5,1007723.375
"DE27",1932277.25,1923971.75,2005665.875,2238462.25
"DE30",701837.375,703645.125,740877.25,817727.1875
"DE40",5566802.5,5504492,5601371.5,6002508.5
"DE50",172931.71875,166690.421875,152107.75,145673.71875
"DE60",385841.8125,372922,341937.71875,320483.46875
"DE71",3813664.25,3738284.75,3594411.25,3506911.75
"DE72",1428390.5,1350194.75,1196745.625,1074390.375
"DE73",1237468.125,1173820.25,1067711.125,995266.6875
"DE80",1295179.5,1246673.375,1207290.75,1311879.375
