"nutM_code","year","year_start","year_end","response","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","population"
"PL424",2024,NA,NA,0,3.38681149482727,11.3932542800903,18.5763854980469,10.8908557891846,18.5028648376465,2.79436612129211,1.94346570968628,2.74489665031433,1.61943757534027,85.8837203979492,73.2343292236328,73.646728515625,81.6788024902344,0.357130527496338,0.0970500260591507,0.0433833859860897,2.52210452522661e-09,0,6.03990135683574e-10,0,0.462441951036453,10.4102431471463
"UKL2",2023,NA,NA,0,4.73455953598022,8.77824592590332,15.3216075897217,11.3502187728882,7.88776397705078,2.34182739257812,3.16908931732178,3.37654638290405,3.96148800849915,87.7269058227539,81.0709228515625,80.6141204833984,87.7736358642578,0.164569795131683,0.511746644973755,0.035537127405405,0.041706558316946,2.36856593366364e-11,2.84573579978353e-12,0.185675710439682,0.0240084119141102,13.3615753375896
"DE73",2024,NA,NA,0,3.96154356002808,10.4577369689941,17.8273067474365,10.1863946914673,18.159948348999,3.27508068084717,2.83005881309509,3.00857543945312,2.69466996192932,83.6714248657227,76.0865859985352,73.8012390136719,84.5991744995117,0.329918891191483,0.0779980421066284,0.0368653014302254,4.91682250469694e-10,0,1.41755563111911e-14,0.157942369580269,0.397275418043137,13.3653399477097
"SE125",2007,NA,NA,0,-0.60216361284256,6.92156648635864,16.0063095092773,5.86348724365234,20.2923545837402,1.68739140033722,1.27940368652344,1.9666531085968,1.75579047203064,84.7884368896484,70.6278762817383,72.9111022949219,83.8600006103516,0.181604415178299,0.0281492918729782,0.0164699852466583,0.00577667495235801,7.7432571465863e-10,0.0234246514737606,0.658369183540344,0.0110068451613188,11.7967815165924
"NO022",2024,NA,NA,0,-9.56361389160156,2.39977765083313,10.8285913467407,2.5531222820282,21.1507778167725,2.49382591247559,2.04875111579895,5.1075553894043,3.51059770584106,82.1244812011719,72.6603546142578,76.6877746582031,84.436653137207,0.0259366631507874,0.00727650802582502,0.00329246534965932,0.00116305728442967,0.433095812797546,0,0.4865762591362,0,11.7699648200269
"NL32",2022,NA,NA,0,6.14878082275391,9.79029083251953,18.0831909179688,12.9313497543335,13.5273694992065,2.78783106803894,1.50180160999298,1.7818398475647,3.29548478126526,84.9229049682617,74.742546081543,74.2026290893555,82.172981262207,0.123414479196072,0.14734123647213,0.139724627137184,1.29120092395851e-09,2.02688407724416e-10,4.10140075114002e-13,0.133927255868912,0.112552687525749,13.8764553638104
"FRE22",2017,NA,NA,0,3.83616852760315,11.2834358215332,18.9000835418701,11.525185585022,17.9448509216309,1.26024436950684,1.75681865215302,1.80018949508667,1.93042588233948,87.2229766845703,74.1399765014648,70.7324142456055,83.3520812988281,0.463096410036087,0.141699656844139,0.0371241234242916,1.57132018507866e-09,0,2.38659923809033e-16,0,0.358079850673676,13.2902143848248
"FRC21",2023,NA,NA,0,3.40334033966064,9.75835609436035,19.7234058380127,12.5203809738159,15.5620985031128,2.72781419754028,4.23608207702637,3.361088514328,4.95457315444946,82.6076583862305,74.7707366943359,65.9061431884766,77.7541580200195,0.20195446908474,0.172369167208672,0.0238049179315567,0.000303644425002858,1.59071182875142e-12,0,0.600682973861694,0,12.3708449522342
"ES612",2017,NA,NA,0,11.8981199264526,16.9008598327637,25.4167003631592,19.7411231994629,15.3122797012329,2.49750876426697,1.52864909172058,0.175239652395248,1.11220598220825,78.6386032104492,67.5562744140625,56.0210342407227,65.056396484375,0.331752985715866,0.204146787524223,0.00850656442344189,0.0141334030777216,0,0.181707322597504,0,0.149752497673035,12.19155012422
"UKK4",2024,NA,NA,0,7.85581874847412,10.3012466430664,15.5106859207153,11.9736604690552,10.7969264984131,3.69858813285828,3.25621128082275,1.7636387348175,4.03573751449585,86.6167755126953,83.8938064575195,81.0051956176758,86.9091873168945,0.204079627990723,0.483238279819489,0.0157903041690588,0.00412090821191669,1.16283111611937e-12,0,0.139057293534279,0,12.5844087979688
"PT16I",2020,NA,NA,0,11.1141014099121,15.1158962249756,21.7325592041016,16.7125778198242,14.8127489089966,2.64790463447571,3.02630162239075,0.238086223602295,3.01799535751343,82.3944625854492,77.2124404907227,64.2907104492188,73.2360382080078,0.124917067587376,0.167775794863701,0.0132766524329782,0.00477520376443863,0,0.536047518253326,0,0.146795108914375,11.3178621696548
"FRC24",2023,NA,NA,0,3.34213638305664,9.86771774291992,19.8563842773438,12.5012989044189,15.297887802124,2.66688752174377,3.52560710906982,2.67545795440674,4.48946046829224,84.4304809570312,74.5078964233398,65.4330596923828,78.6715621948242,0.1652891933918,0.0776560381054878,0.033153411000967,0.000438866118201986,0,0,0.723364591598511,0,10.6928075556319
"PL411",2017,NA,NA,0,0.117636933922768,8.81910610198975,17.5073680877686,9.6462345123291,19.5203094482422,1.46786165237427,2.05025577545166,4.55253791809082,2.52350378036499,85.1962738037109,74.4369735717773,76.5671157836914,86.9914779663086,0.333754539489746,0.0901861935853958,0.00736645236611366,0.00020889108418487,0,1.45326140010837e-09,0,0.563601493835449,12.3312756544175
"EL527",2024,NA,NA,0,10.1298551559448,16.1070938110352,27.3404636383057,17.7538642883301,18.8810424804688,1.91206896305084,1.90291559696198,0.984043478965759,1.89882898330688,73.9814147949219,71.4257965087891,61.4305839538574,68.3211822509766,0.235985308885574,0.155807688832283,0.0027735058683902,0.0135795958340168,0,0.0406771264970303,0,0.284934759140015,9.83614186582686
"RSG125395",2022,NA,NA,0,3.64459204673767,12.1409130096436,24.3444766998291,13.4589214324951,19.4087028503418,2.05875325202942,1.26031565666199,1.56152105331421,2.14927244186401,79.8588409423828,61.4860458374023,58.6105346679688,81.8547897338867,0.503681898117065,0.0972318202257156,0.0406838022172451,0.000535186962224543,0,0.010513536632061,0,0.347266674041748,12.6023197733011
"RO312",2024,NA,NA,0,5.10351753234863,13.7431392669678,26.5675067901611,12.9998617172241,24.5973491668701,0.793753266334534,1.62465417385101,0.910315275192261,1.54522311687469,76.840087890625,67.5279846191406,51.4566612243652,72.0892562866211,0.627117455005646,0.132098793983459,0.0148213552311063,0.0163954086601734,0,0.0359650701284409,0,0.152698993682861,12.7827805453936
