"Longitude","Latitude","Admin","Year","disease"
-140.102902,-8.908933,-999,2013,"zik"
-140.098561,-8.907751,2,2013,"zik"
-151.457474,-16.726556,2,2013,"zik"
9.451452,0.403505,2,2007,"zik"
9.577138,0.991577,2,2007,"zik"
-89.535624,14.967499,1,2015,"zik"
-90.788211,14.30066,1,2015,"zik"
-58.930276,4.860018,0,2016,"zik"
-72.307472,18.594153,2,2015,"zik"
-72.288193,18.513731,-999,2016,"zik"
-72.305228,18.54332,-999,2016,"zik"
-87.162232,13.319741,1,2015,"zik"
-87.485165,13.536852,-999,2015,"zik"
110.663717,-7.740495,2,1977,"zik"
110.663717,-7.740495,2,1978,"zik"
106.863507,-6.182987,1,2012,"zik"
116.244486,5.301436,2,2014,"zik"
-61.023831,14.638044,1,2015,"zik"
-93.129281,16.756858,1,2015,"zik"
-99.99621,25.59205,1,2015,"zik"
166.455059,-22.198278,2,2014,"zik"
-86.236174,12.114903,2,2016,"zik"
3.935037,7.84191,1,1971,"zik"
3.935037,7.84191,1,1972,"zik"
3.935037,7.84191,1,1973,"zik"
3.935037,7.84191,1,1974,"zik"
3.935037,7.84191,1,1975,"zik"
3.894567,7.404473,2,1975,"zik"
3.286264,7.435857,-999,1975,"zik"
8.605628,7.484514,1,1965,"zik"
7.870815,6.990741,-999,1970,"zik"
7.870815,6.990741,-999,1971,"zik"
7.809992,7.040969,-999,1970,"zik"
7.809992,7.040969,-999,1971,"zik"
7.932985,5.883715,2,1953,"zik"
-77.926729,9.132412,0,2015,"zik"
-55.732098,-22.546149,2,2015,"zik"
123.892987,10.309952,2,2012,"zik"
-66.591156,18.208921,1,2016,"zik"
-17.366062,14.764294,2,1991,"zik"
-12.30988,12.538624,-999,2008,"zik"
-12.326242,12.383515,-999,1988,"zik"
-12.326242,12.383515,-999,1990,"zik"
-12.007692,12.424297,-999,1988,"zik"
-12.310513,12.538614,-999,1990,"zik"
-12.180191,12.555483,-999,1988,"zik"
-12.820766,12.635156,-999,1988,"zik"
-12.820766,12.635156,-999,1990,"zik"
-12.292349,12.802637,-999,1990,"zik"
-11.756187,12.834711,-999,1988,"zik"
-11.756187,12.834711,-999,1990,"zik"
-11.968381,13.133416,-999,1988,"zik"
-11.968381,13.133416,-999,1990,"zik"
-55.203838,5.851977,1,2015,"zik"
101.119286,16.301622,1,2014,"zik"
104.322016,15.11845,1,2013,"zik"
99.813428,13.528235,1,2012,"zik"
99.008731,18.574414,1,2013,"zik"
100.04487,9.53969,2,2014,"zik"
101.243454,16.723142,2,2014,"zik"
104.33064,15.114621,2,2013,"zik"
99.007018,18.572163,2,2013,"zik"
99.749996,13.553368,2,2012,"zik"
34.084645,2.889743,1,1967,"zik"
34.084645,2.889743,1,1968,"zik"
34.084645,2.889743,1,1969,"zik"
32.051286,0.701356,2,1967,"zik"
32.051286,0.701356,2,1968,"zik"
32.051286,0.701356,2,1969,"zik"
31.145446,2.651554,2,1967,"zik"
31.145446,2.651554,2,1968,"zik"
31.145446,2.651554,2,1969,"zik"
31.616565,0.26661,2,1967,"zik"
31.616565,0.26661,2,1968,"zik"
31.616565,0.26661,2,1969,"zik"
32.071066,0.001294,2,1967,"zik"
32.071066,0.001294,2,1968,"zik"
32.071066,0.001294,2,1969,"zik"
30.247818,0.655582,2,1967,"zik"
30.247818,0.655582,2,1968,"zik"
30.247818,0.655582,2,1969,"zik"
31.926209,3.565038,2,1967,"zik"
31.926209,3.565038,2,1968,"zik"
31.926209,3.565038,2,1969,"zik"
30.975695,3.099831,2,1967,"zik"
30.975695,3.099831,2,1968,"zik"
30.975695,3.099831,2,1969,"zik"
166.941724,-15.337996,2,2014,"zik"
-68.715476,10.417616,1,2016,"zik"
-63.580839,6.357257,1,2015,"zik"
-170.7283901,-14.30276654,0,2016,"zik"
-63.04783901,18.22428326,0,2016,"zik"
-61.35030518,17.18622167,0,2016,"zik"
-65.27538193,-26.620033,2,2016,"zik"
-59.57312085,13.17974808,0,2016,"zik"
-88.0279608,17.76155421,0,2016,"zik"
-63.5052938,-17.23545084,1,2016,"zik"
-36.73216349,-9.651031505,1,2016,"zik"
-64.94765661,-4.889226238,1,2016,"zik"
-41.58052179,-12.19479266,1,2016,"zik"
-39.62797571,-4.647185939,1,2016,"zik"
-72.50476381,7.89005683,2,2016,"zik"
-40.18488123,-19.09625887,1,2016,"zik"
-50.05949967,-15.16428981,1,2016,"zik"
-45.23171183,-4.933892819,1,2016,"zik"
-56.0668096,-12.4068593,1,2016,"zik"
-44.76919985,-17.40731626,1,2016,"zik"
-36.95312553,-7.167302732,1,2016,"zik"
-52.25845848,-24.660779,1,2016,"zik"
-46.19385988,-23.96380018,1,2016,"zik"
-42.60508849,-7.537129724,1,2016,"zik"
-43.29735953,-22.85527422,2,2016,"zik"
-37.03874729,-5.497518357,1,2016,"zik"
-52.87013912,-28.68845957,1,2016,"zik"
-41.86434598,-22.13080645,1,2016,"zik"
-63.02861048,-10.85625333,1,2016,"zik"
-61.36249397,1.690912246,1,2016,"zik"
-48.99957247,-22.16842939,1,2016,"zik"
-48.26482374,-10.77170381,1,2016,"zik"
-64.65290421,18.39703987,0,2016,"zik"
104.8513517,12.7293657,0,2016,"zik"
-23.99459262,16.00140228,0,2016,"zik"
-81.36951475,19.28692592,2,2016,"zik"
-74.79701267,11.05491012,2,2016,"zik"
-74.0817116,4.71536797,2,2016,"zik"
-73.1285148,7.119546655,2,2016,"zik"
-75.43784652,5.337888485,1,2016,"zik"
-71.59097709,5.504858144,1,2016,"zik"
-74.33343858,5.028764999,1,2016,"zik"
-75.66812541,2.404207768,1,2016,"zik"
-77.91673163,1.596947233,1,2016,"zik"
-75.71779841,4.488431105,1,2016,"zik"
-73.43146563,6.682469829,1,2016,"zik"
-75.22572922,4.088639587,1,2016,"zik"
-76.50579869,3.786800964,1,2016,"zik"
-72.90583184,7.94876031,1,2016,"zik"
-74.81307486,11.00513934,2,2016,"zik"
-72.49618448,7.886647697,2,2016,"zik"
-84.10192467,9.901310018,2,2016,"zik"
-84.26727171,10.03407935,-999,2016,"zik"
-84.10252377,9.959270536,2,2016,"zik"
-85.4531622,10.14452092,2,2016,"zik"
-84.33041097,9.518544237,-999,2016,"zik"
-84.83252058,9.976014617,2,2016,"zik"
-84.62215036,9.620718671,2,2016,"zik"
-85.52461628,9.883294421,-999,2016,"zik"
-84.6222372,9.610662964,2,2016,"zik"
-76.25992331,20.878965,2,2016,"zik"
-70.28166024,18.80420346,0,2016,"zik"
-61.37953653,15.44598741,0,2016,"zik"
-80.47673701,-1.021054996,2,2016,"zik"
-79.99212512,-0.716073026,1,2016,"zik"
-88.80215472,13.7312999,0,2016,"zik"
177.9781557,-17.83469249,0,2016,"zik"
7.553971154,48.74703343,2,2016,"zik"
6.268869192,44.14258907,1,2016,"zik"
-61.01240138,14.65402067,0,2016,"zik"
-62.82101611,17.90221417,0,2016,"zik"
-63.04670214,18.07173655,1,2016,"zik"
-52.77214734,4.822064938,0,2016,"zik"
-61.62228606,12.12346667,2,2016,"zik"
-61.71026349,12.11097728,0,2016,"zik"
-61.60003848,16.25257839,0,2016,"zik"
-90.05904411,15.69105205,0,2016,"zik"
-15.87265164,11.24835901,2,2016,"zik"
-14.95320304,12.05428028,0,2016,"zik"
-73.29077304,19.05286968,0,2016,"zik"
-87.12005887,14.89905706,0,2016,"zik"
-88.01653014,15.47069489,1,2016,"zik"
-87.2103214,14.28391894,1,2016,"zik"
-87.11109886,15.16412813,1,2016,"zik"
-87.16792896,13.31578329,1,2016,"zik"
121.1502211,-4.243073481,0,2016,"zik"
-77.26549821,18.31684535,1,2016,"zik"
162.9683152,5.303491354,0,2016,"zik"
73.08179943,-0.679928862,0,2016,"zik"
101.6835563,3.144333628,2,2016,"zik"
101.6871175,2.93623738,2,2016,"zik"
103.7420761,1.488794422,2,2016,"zik"
115.959818,6.059223324,1,2016,"zik"
110.2951182,1.538630258,1,2016,"zik"
101.5182843,3.088240475,1,2016,"zik"
-61.03855325,14.64980302,0,2016,"zik"
-102.2957628,21.88669043,1,2016,"zik"
-93.43369178,17.02273073,1,2016,"zik"
-104.7774731,18.91697889,1,2016,"zik"
-99.60071012,17.84216364,1,2016,"zik"
-103.9422616,20.23181373,1,2016,"zik"
-101.3895785,19.20733467,1,2016,"zik"
-105.4613016,22.0836488,1,2016,"zik"
-100.1137447,26.58207359,1,2016,"zik"
-96.61576732,16.77458584,1,2016,"zik"
-87.26940435,19.26212845,1,2016,"zik"
-107.5633128,25.20364843,1,2016,"zik"
-110.5637379,30.24259601,1,2016,"zik"
-92.67810468,18.3051287,1,2016,"zik"
-98.84044466,24.33940804,1,2016,"zik"
-95.17462545,18.52809082,1,2016,"zik"
-88.97577344,20.3309224,1,2016,"zik"
96.17195874,16.85425792,2,2016,"zik"
-86.25196916,11.76526314,1,2016,"zik"
-85.94934414,11.93079776,1,2016,"zik"
-86.00007552,13.08845814,1,2016,"zik"
-86.28645165,12.12862609,1,2016,"zik"
-86.09170177,11.96988598,1,2016,"zik"
-85.87751508,13.60475187,1,2016,"zik"
-85.14894854,12.88028937,0,2016,"zik"
-78.17567183,9.264084686,1,2016,"zik"
-80.30356435,8.581659184,0,2016,"zik"
-58.84532993,-23.23512997,0,2016,"zik"
-78.7993527,-5.709552864,2,2016,"zik"
-80.42623033,-3.556725551,1,2016,"zik"
-76.11250882,-5.900785878,1,2016,"zik"
121.1307855,14.6229993,2,2016,"zik"
120.9726369,14.41252284,2,2016,"zik"
121.9230645,11.96880747,2,2016,"zik"
121.5171814,14.1272483,1,2016,"zik"
121.1181689,14.18763878,2,2016,"zik"
121.0331675,14.7588307,2,2016,"zik"
120.570602,14.38240316,2,2016,"zik"
123.8854265,10.31358305,2,2016,"zik"
123.5935752,10.21057261,2,2016,"zik"
122.5607297,10.72300483,2,2016,"zik"
120.9930472,14.44593354,2,2016,"zik"
121.0247784,14.55517408,2,2016,"zik"
121.0338705,14.57979334,2,2016,"zik"
121.0110291,14.5990308,1,2016,"zik"
121.0165263,14.41294151,2,2016,"zik"
121.0453759,14.6774525,2,2016,"zik"
-66.68553742,18.17983427,0,2016,"zik"
134.5750133,7.520581142,0,2016,"zik"
-63.23312486,17.63582283,0,2016,"zik"
-60.97202003,13.89062886,0,2016,"zik"
103.8513875,1.306531915,2,2016,"zik"
-62.97240349,17.48241085,0,2016,"zik"
-62.74047965,17.34833087,0,2016,"zik"
-63.0586356,18.04326353,0,2016,"zik"
-63.05288138,18.07092109,0,2016,"zik"
-62.82224564,17.90055215,0,2016,"zik"
100.5039924,13.76659141,2,2016,"zik"
103.6558303,18.21284332,1,2016,"zik"
102.2010327,12.80429636,1,2016,"zik"
99.02025228,18.93944358,2,2016,"zik"
101.2206087,16.43537085,1,2016,"zik"
-60.69598457,11.23119648,1,2016,"zik"
-61.25486767,10.37790485,1,2016,"zik"
-71.72957472,21.80241501,0,2016,"zik"
-64.89642059,18.33898207,1,2016,"zik"
-64.83702769,17.72508342,1,2016,"zik"
-64.75120683,18.33458878,1,2016,"zik"
-97.47859572,25.90742562,2,2016,"zik"
