"Longitude","Latitude","Admin","Year","disease"
-140.079861,-9.404017,-999,2009,"dengue"
-147.661257,-23.865902,-999,2009,"dengue"
-151.738071,-16.503908,-999,2009,"dengue"
-134.973421,-23.110681,-999,2009,"dengue"
-151.441841,-16.803884,-999,2009,"dengue"
-151.502266,-16.608558,-999,2009,"dengue"
-149.425449,-17.649911,-999,2009,"dengue"
-149.572692,-17.542243,-999,2009,"dengue"
-149.489994,-17.506885,-999,2009,"dengue"
-149.828167,-17.538969,-999,2009,"dengue"
-169.918,-19.056,-999,1972,"dengue"
-169.917912,-19.054979,-999,1985,"dengue"
-169.917912,-19.054979,-999,1986,"dengue"
-157.337809,-20.161032,-999,1995,"dengue"
-158.043903,-9.028624,-999,1995,"dengue"
-159.76,-21.23,-999,1995,"dengue"
-159.81103,-21.219059,-999,2006,"dengue"
-159.74824,-21.212191,-999,2006,"dengue"
-159.81103,-21.219059,-999,2007,"dengue"
-159.74824,-21.212191,-999,2007,"dengue"
-157.912676,-21.922459,-999,2009,"dengue"
-159.774994,-21.234722,-999,2009,"dengue"
-175.206385,-21.140068,-999,1998,"dengue"
-175.206385,-21.140068,-999,2004,"dengue"
-170.697,-14.316,-999,2007,"dengue"
-176.206684,-13.287063,-999,1998,"dengue"
-178.142481,-14.285502,-999,2002,"dengue"
-176.206684,-13.287063,-999,2002,"dengue"
-176.206684,-13.287063,-999,2009,"dengue"
-57.66,-25.26,-999,1988,"dengue"
-57.66,-25.26,-999,1989,"dengue"
-57.66,-25.26,-999,1990,"dengue"
-57.66,-25.26,-999,1991,"dengue"
-57.66,-25.26,-999,1992,"dengue"
-57.66,-25.26,-999,1993,"dengue"
-57.66,-25.26,-999,1994,"dengue"
-57.66,-25.26,-999,1995,"dengue"
-57.66,-25.26,-999,1996,"dengue"
-57.66,-25.26,-999,1997,"dengue"
-57.66,-25.26,-999,1998,"dengue"
-55.88062,-25.190019,-999,1999,"dengue"
-57.66,-25.26,-999,1999,"dengue"
-56.948957,-25.195243,-999,2000,"dengue"
-55.88062,-25.190019,-999,2000,"dengue"
-61.058842,-21.906638,-999,2000,"dengue"
-57.66,-25.26,-999,2000,"dengue"
-57.53,-25.33,-999,2000,"dengue"
-57.41,-25.3,-999,2000,"dengue"
-57.41,-25.35,-999,2000,"dengue"
-56.01,-25.45,-999,2000,"dengue"
-54.61,-25.51,-999,2000,"dengue"
-55.867567,-27.33609,-999,2000,"dengue"
-57.6,-25.31,-999,2000,"dengue"
-56.059624,-26.23771,-999,2001,"dengue"
-61.058842,-21.906638,-999,2001,"dengue"
-55.7477,-22.5327,-999,2001,"dengue"
-57.6033,-25.2822,-999,2001,"dengue"
-57.488,-25.27,-999,2001,"dengue"
-57.6,-25.31,-999,2001,"dengue"
-57.3524,-25.3931,-999,2001,"dengue"
-54.636,-25.407,-999,2001,"dengue"
-54.6586,-25.499,-999,2001,"dengue"
-57.283,-25.569,-999,2001,"dengue"
-56.948957,-25.195243,-999,2002,"dengue"
-56.059987,-22.88643,-999,2002,"dengue"
-55.738983,-22.555412,-999,2002,"dengue"
-55.7477,-22.5327,-999,2002,"dengue"
-57.6033,-25.2822,-999,2002,"dengue"
-57.488,-25.27,-999,2002,"dengue"
-57.6,-25.31,-999,2002,"dengue"
-57.3524,-25.3931,-999,2002,"dengue"
-54.636,-25.407,-999,2002,"dengue"
-54.6586,-25.499,-999,2002,"dengue"
-57.283,-25.569,-999,2002,"dengue"
-61.058842,-21.906638,-999,2003,"dengue"
-55.7477,-22.5327,-999,2003,"dengue"
-57.6033,-25.2822,-999,2003,"dengue"
-57.488,-25.27,-999,2003,"dengue"
-57.6,-25.31,-999,2003,"dengue"
-57.3524,-25.3931,-999,2003,"dengue"
-54.636,-25.407,-999,2003,"dengue"
-54.6586,-25.499,-999,2003,"dengue"
-57.283,-25.569,-999,2003,"dengue"
-55.215266,-24.234312,-999,2004,"dengue"
-55.7477,-22.5327,-999,2004,"dengue"
-57.6033,-25.2822,-999,2004,"dengue"
-57.488,-25.27,-999,2004,"dengue"
-57.6,-25.31,-999,2004,"dengue"
-57.3524,-25.3931,-999,2004,"dengue"
-54.636,-25.407,-999,2004,"dengue"
-54.6586,-25.499,-999,2004,"dengue"
-57.283,-25.569,-999,2004,"dengue"
-57.502188,-25.527273,-999,2005,"dengue"
-55.215266,-24.234312,-999,2005,"dengue"
-55.867567,-27.33609,-999,2005,"dengue"
-60.029354,-22.346265,-999,2005,"dengue"
-55.7477,-22.5327,-999,2005,"dengue"
-57.6033,-25.2822,-999,2005,"dengue"
-57.488,-25.27,-999,2005,"dengue"
-57.6,-25.31,-999,2005,"dengue"
-57.3524,-25.3931,-999,2005,"dengue"
-54.636,-25.407,-999,2005,"dengue"
-54.6586,-25.499,-999,2005,"dengue"
-57.283,-25.569,-999,2005,"dengue"
-56.948957,-25.195243,-999,2006,"dengue"
-57.502188,-25.527273,-999,2006,"dengue"
-56.059987,-22.88643,-999,2006,"dengue"
-54.95337,-25.391374,-999,2006,"dengue"
-59.408153,-20.581937,-999,2006,"dengue"
-57.544599,-25.248267,-999,2006,"dengue"
-55.867567,-27.33609,-999,2006,"dengue"
-60.029354,-22.346265,-999,2006,"dengue"
-55.7477,-22.5327,-999,2006,"dengue"
-57.599187,-25.275668,-999,2006,"dengue"
-57.488,-25.27,-999,2006,"dengue"
-57.6,-25.31,-999,2006,"dengue"
-57.3524,-25.3931,-999,2006,"dengue"
-54.636,-25.407,-999,2006,"dengue"
-54.6586,-25.499,-999,2006,"dengue"
-57.283,-25.569,-999,2006,"dengue"
-57.502188,-25.527273,-999,2007,"dengue"
-54.95337,-25.391374,-999,2007,"dengue"
-55.867567,-27.33609,-999,2007,"dengue"
-60.029354,-22.346265,-999,2007,"dengue"
-57.150439,-25.622952,-999,2007,"dengue"
-55.738983,-22.555412,-999,2007,"dengue"
-57.231867,-25.977573,-999,2007,"dengue"
-57.630215,-25.286921,-999,2007,"dengue"
-57.597552,-25.318434,-999,2007,"dengue"
-57.119974,-22.84154,-999,2008,"dengue"
-57.502188,-25.527273,-999,2008,"dengue"
-55.88062,-25.190019,-999,2008,"dengue"
-56.059987,-22.88643,-999,2008,"dengue"
-55.867567,-27.33609,-999,2008,"dengue"
-60.029354,-22.346265,-999,2008,"dengue"
-57.045,-23.344,-999,2008,"dengue"
-57.119974,-22.84154,-999,2009,"dengue"
-55.88062,-25.190019,-999,2009,"dengue"
-57.94278,-22.15889,-999,2009,"dengue"
-56.533333,-22.983334,-999,2009,"dengue"
-56,-23,-999,2009,"dengue"
-57.1675,-23.1775,-999,2009,"dengue"
-58.833332,-23.5,-999,2009,"dengue"
-57.666668,-25.266666,-999,2009,"dengue"
-54.833328,-25.5,-999,2009,"dengue"
-55.867567,-27.33609,-999,2009,"dengue"
