"Longitude","Latitude","Admin","Year","disease"
110.87194,-8.0725,"-999",2013,"chik"
84.5,19.5,"2",2013,"chik"
110.6396,-6.8909,"-999",2013,"chik"
109.29417,-7.51417,"-999",2013,"chik"
110.36444,-7.80139,"1",2013,"chik"
124.93333,11.53333,"-999",2013,"chik"
106.78917,-6.59444,"-999",2013,"chik"
152.58333,-3.08333,"-999",2013,"chik"
122.66667,8,"2",2013,"chik"
74.5,15.86667,"-999",2006,"chik"
121.37704,13.75044,"-999",2013,"chik"
110.61111,-7.20435,"-999",2013,"chik"
109.91278,-7.71694,"-999",2013,"chik"
111.07389,-7.64972,"-999",2013,"chik"
80.24963,13.06042,"-999",2006,"chik"
166.45,-22.26667,"-999",2013,"chik"
142,-3.5,"1",2013,"chik"
145.5,-5,"1",2013,"chik"
149.82605,-5.87833,"1",2013,"chik"
146.98013,-7.00494,"1",2013,"chik"
145.58333,-6.5,"1",2013,"chik"
107.62056,-6.91278,"-999",2013,"chik"
77.73341,13.32734,"-999",2013,"chik"
103.76274,1.42195,"-999",2013,"chik"
107.9215,-7.1062,"-999",2013,"chik"
109.34472,-7.34917,"-999",2013,"chik"
112.847,-7.7364,"-999",2013,"chik"
103.73686,1.43859,"-999",2013,"chik"
112.61838,-7.94313,"-999",2013,"chik"
122.01667,10.93333,"-999",2013,"chik"
111.02222,-7.42639,"-999",2013,"chik"
77.60329,12.97623,"-999",2013,"chik"
80.26279,12.98219,"-999",2013,"chik"
76.22329,10.02134,"-999",2013,"chik"
112.16667,-7.58333,"-999",2013,"chik"
74.6,16.2333,"-999",2013,"chik"
80.41726,8.35648,"-999",2008,"chik"
120.5953,18.1725,"-999",2013,"chik"
110.94444,-7.59833,"-999",2013,"chik"
124.86667,12.46667,"-999",2013,"chik"
122.9677,10.87754,"-999",2013,"chik"
123.56389,13.31389,"1",2013,"chik"
122.83102,9.8965,"-999",2013,"chik"
123.11966,11.21685,"-999",2013,"chik"
120.33333,15.91667,"2",2013,"chik"
107.13111,-6.93917,"-999",2013,"chik"
125.09113,7.01061,"-999",2013,"chik"
121.2239,15.5808,"-999",2013,"chik"
120.68556,15.03028,"-999",2013,"chik"
121.175,13.4068,"-999",2013,"chik"
120.9639,15.363,"-999",2013,"chik"
120.72565,15.4425,"-999",2013,"chik"
122.37335,14.07536,"-999",2013,"chik"
124.78333,11.63333,"-999",2013,"chik"
125,12,"-999",2013,"chik"
124.46667,6.11667,"-999",2013,"chik"
126,7.5,"-999",2013,"chik"
122.5195,13.3476,"-999",2013,"chik"
121.0259,13.7726,"-999",2013,"chik"
