"nutM_code","year","year_start","year_end","response","temperature_winter","temperature_spring","temperature_summer","temperature_fall","seasonal_variation","precipitation_winter","precipitation_spring","precipitation_summer","precipitation_fall","relative_humidity_winter","relative_humidity_spring","relative_humidity_summer","relative_humidity_fall","croplands","pastures","rangelands","urbanAreas","primaryForest","primaryNonForest","secondaryForest","secondaryNonForest","population"
"ITG27",2019,NA,NA,0,9.61154079437256,13.8134460449219,25.4478569030762,18.7115993499756,18.4391212463379,0.880446076393127,1.8094482421875,0.375702679157257,2.15832853317261,76.4258499145508,71.646842956543,62.0648765563965,74.7158050537109,0.174971148371696,0.0647181868553162,0.0258257817476988,0.0397453717887402,0,4.85170816011665e-15,0,0.535567343235016,11.9888843731638
"RO121",2022,NA,NA,0,0.401942372322083,8.05089664459229,19.9204044342041,9.86209201812744,18.327127456665,2.03825044631958,2.42090511322021,3.16285538673401,2.73307919502258,79.3005752563477,64.1848907470703,65.7244491577148,83.3928527832031,0.216757893562317,0.171569183468819,0.00441863760352135,0.0305397901684046,2.6679922160433e-11,0.14171613752842,0.349172562360764,0.0858257934451103,11.8799557010711
"HU321",2017,NA,NA,0,-1.36222219467163,12.7957592010498,23.0027198791504,11.470908164978,28.2865657806396,0.952054798603058,1.76538050174713,2.05049753189087,2.16463756561279,82.2238006591797,63.5405883789062,58.6189880371094,76.5407867431641,0.53678697347641,0.106573082506657,0.0220401845872402,0.00363815715536475,0,0.0097717372700572,0,0.320758759975433,12.662213638718
"PL824",2023,NA,NA,0,1.94783592224121,9.21602535247803,19.7985572814941,11.5778865814209,18.4733734130859,2.98752856254578,2.193190574646,3.27309536933899,2.80475687980652,83.8001708984375,69.8886566162109,72.4675216674805,80.2677307128906,0.385531455278397,0.0977807119488716,0.0254772584885359,1.29222678424412e-06,0,1.02378956007287e-11,0,0.490481466054916,12.7148752869465
"EL611",2020,NA,NA,0,5.57071208953857,12.2463836669922,22.705358505249,14.7572793960571,20.4569969177246,2.32190752029419,3.43657946586609,1.44673717021942,1.89359390735626,71.291374206543,65.3674621582031,57.9288940429688,68.3611755371094,0.262967765331268,0.107207283377647,0.0030091677326709,0.0436771288514137,1.28956489583998e-11,0.131236284971237,0.0624810419976711,0.386469095945358,11.3965807108971
"FRG04",2024,NA,NA,0,7.0537519454956,11.2945528030396,18.5041904449463,12.1954956054688,14.7201461791992,2.63430094718933,3.15987873077393,1.81741583347321,3.06223583221436,87.9243316650391,80.9337997436523,74.4967727661133,87.8486480712891,0.420783519744873,0.243172943592072,0.0218439735472202,3.10784686874399e-09,0,1.80190046788346e-18,0,0.314199566841125,12.4718385098184
"ES612",2024,NA,NA,0,13.1396923065186,16.8684577941895,24.4533519744873,19.4245834350586,13.0442380905151,2.18484377861023,2.32146191596985,0.18861111998558,2.5817186832428,77.5839004516602,68.3752670288086,64.3494186401367,76.1983489990234,0.330581039190292,0.23047910630703,0.00880623515695333,0.0104034394025803,0,0.178642705082893,0,0.131087049841881,12.1909939055883
"BG314",2024,NA,NA,0,5.01588439941406,13.6529445648193,25.7052764892578,12.7647552490234,24.1987991333008,1.20393085479736,2.48143124580383,0.856860280036926,1.23853099346161,75.8245849609375,70.5831985473633,54.9500885009766,68.6350708007812,0.52538001537323,0.193115904927254,0.0073356693610549,0.00989961251616478,0,0.00629240553826094,0,0.256824404001236,11.4921286717799
"RO226",2024,NA,NA,0,3.11464595794678,11.7437753677368,23.3188457489014,10.5537185668945,23.5111541748047,0.69655829668045,1.86418461799622,2.1088547706604,2.30190443992615,73.8349761962891,65.4449996948242,59.3417778015137,74.2685165405273,0.345991998910904,0.135770037770271,0.0075467936694622,0.00257201050408185,1.29490916687264e-12,0.345279455184937,0.00331763783469796,0.158882349729538,11.9573299966735
"HU213",2023,NA,NA,0,3.31247401237488,10.988899230957,21.4621562957764,13.5680494308472,19.9728717803955,1.8946624994278,2.58924269676208,2.85587954521179,2.49580121040344,82.6946334838867,69.9163589477539,71.1242828369141,78.1651000976562,0.376601547002792,0.0717550665140152,0.0177782513201237,0.00222589657641947,0,3.10146852644522e-10,0,0.50466388463974,11.8316936920843
"DE93",2017,NA,NA,0,2.44056105613708,9.71684741973877,17.2302799224854,10.6744136810303,17.1820316314697,1.72030556201935,1.9727691411972,3.64263486862183,2.85813879966736,86.1010665893555,74.948486328125,76.4055480957031,86.2607727050781,0.32513764500618,0.166638389229774,0.0439155250787735,0.000221468988456763,9.6920116376964e-10,1.17816301159479e-09,0.0879135355353355,0.34915554523468,14.1165886578839
"EL644",2018,NA,NA,0,6.86944627761841,15.0722932815552,23.5838508605957,15.6746740341187,16.3214950561523,5.06463766098022,1.94585013389587,2.60206055641174,3.10811352729797,79.223747253418,67.2851181030273,60.4243774414062,73.6313323974609,0.211644485592842,0.0987363904714584,0.00244907708838582,0.113698065280914,0,0.0953696072101593,0,0.409485399723053,10.7864959913854
"FRG02",2024,NA,NA,0,7.70491600036621,11.7290897369385,18.9055004119873,12.6731014251709,14.1706647872925,2.58431100845337,3.09650254249573,2.02749371528625,3.02143025398254,87.7008514404297,80.6929244995117,75.0202941894531,87.8674774169922,0.450885951519012,0.253251314163208,0.0291309934109449,1.48391443577367e-09,0,1.33939194095148e-18,0,0.266731768846512,12.9063489626739
"XKG125378",2017,NA,NA,0,-0.920963823795319,11.368857383728,21.9961719512939,10.9803094863892,28.4808483123779,1.15937995910645,2.52546429634094,1.24186539649963,2.23333382606506,73.5731201171875,65.902961730957,55.3406257629395,71.1822509765625,0.192425400018692,0.166449725627899,0.0398777388036251,0.00371692841872573,2.36538372222483e-10,0.143147215247154,0.104296199977398,0.350086778402328,12.5263028659386
"ES615",2023,NA,NA,0,11.6947832107544,18.2585258483887,26.6298828125,19.1826267242432,16.1218948364258,2.11251091957092,0.551215589046478,0.322277188301086,1.79418873786926,75.5553207397461,57.2043914794922,47.9049186706543,70.9049530029297,0.227307364344597,0.132462814450264,0.00788426958024502,0.0180576182901859,0,0.303908258676529,0,0.215210616588593,12.3554225118357
