"NUTM","temperature_winter","temperature_fall","precipitation_spring","precipitation_fall","relative_humidity_winter","relative_humidity_fall","pastures","urbanAreas","primaryNonForest"
"AD",2.15728998184204,11.2837820053101,2.98619532585144,2.78306031227112,73.5563583374023,77.0951843261719,0.0665047392249107,0.0200678892433643,0.0313368737697601
"AL013",-0.268066674470901,11.2076654434204,3.38433384895325,3.89352869987488,78.0684280395508,71.2146835327148,0.179330259561539,0.0186855047941208,0
"AL015",1.04522085189819,12.1780042648315,4.21903228759766,5.3960485458374,75.8055267333984,71.202392578125,0.133526682853699,0.012278962880373,0.00167733139824122
"AL014",5.15223741531372,15.8903970718384,3.48104381561279,4.18548107147217,74.3867416381836,70.6489105224609,0.126000761985779,0.0199094079434872,2.74055696536379e-06
"AL011",2.00654697418213,13.1433401107788,3.06040334701538,3.40372037887573,78.6117477416992,71.9839630126953,0.177975296974182,0.0127194160595536,0
"AL012",7.12257766723633,17.4599494934082,2.99278545379639,3.49182748794556,72.116096496582,69.5708236694336,0.115335375070572,0.0320374928414822,0.000736631103791296
"AL021",3.30451416969299,14.0102691650391,2.71153450012207,2.91442775726318,77.1819458007812,70.9514617919922,0.170370221138,0.0166771523654461,0
"AL022",6.72881174087524,16.9948749542236,2.74371194839478,3.0189049243927,72.8632278442383,69.6400909423828,0.137348681688309,0.0372491292655468,0.000144139266922139
"AL034",1.37836623191833,12.4479026794434,2.42334747314453,2.60033512115479,79.8988037109375,71.2942047119141,0.111092321574688,0.00945509225130081,0.363076686859131
"AL031",4.69746351242065,15.0368785858154,2.61045169830322,3.04166722297668,75.6908798217773,70.5297088623047,0.189322263002396,0.013200618326664,0
"AL032",8.7805814743042,18.6395301818848,2.47160148620605,3.06717157363892,73.283561706543,70.6127853393555,0.17149543762207,0.0226664505898952,0.00531585793942213
"AL035",7.70983171463013,17.6371154785156,2.75863790512085,3.99607610702515,74.8043746948242,72.1838150024414,0.173878625035286,0.008569804020226,0.00709276646375656
"AL033",3.9436366558075,14.3043203353882,2.93122959136963,4.05367755889893,75.7790985107422,70.612174987793,0.185734272003174,0.00659365253522992,0.0137218246236444
"AT11",1.48020458221436,12.1990795135498,1.92766177654266,2.16886425018311,78.5553894042969,76.5987167358398,0.167155057191849,0.0186286121606827,0.0330400876700878
"AT12",0.793602526187897,11.1463651657104,2.34346294403076,2.1365864276886,80.3942108154297,78.764778137207,0.155002012848854,0.0243675075471401,0.13586238026619
"AT13",2.08476424217224,12.4584150314331,1.85187554359436,1.9271491765976,78.9668655395508,76.0121307373047,0.100767128169537,0.13029445707798,0.119626969099045
"AT21",-1.82689702510834,8.40212440490723,3.28821110725403,4.04263687133789,79.4391708374023,81.9475555419922,0.0986280515789986,0.0158357862383127,0
"AT22",-1.09888684749603,9.17254066467285,3.04333782196045,3.18342804908752,80.6443939208984,81.7991790771484,0.0988739803433418,0.0182357095181942,0.0505027808248997
"AT31",0.364271134138107,10.3940238952637,3.36498308181763,3.0859866142273,82.1056671142578,82.2589645385742,0.222543150186539,0.0245251301676035,0.0756486877799034
"AT32",-2.24249982833862,7.06696081161499,4.04109573364258,4.0022988319397,80.3788452148438,83.1875991821289,0.135803952813148,0.0137060768902302,0
"AT33",-3.05732417106628,6.1945104598999,3.39618563652039,3.52726602554321,76.887336730957,80.9839096069336,0.12214057892561,0.0134869916364551,0
"AT34",-1.45132970809937,7.64243698120117,4.11994934082031,4.06912660598755,76.6943054199219,80.3016204833984,0.162446528673172,0.0377328060567379,0
"BAG1652",1.24276578426361,12.0090913772583,3.14687609672546,3.50824809074402,79.3024673461914,75.9255752563477,0.166758880019188,0.0121516091749072,0.113910831511021
"BAG1653",1.55496382713318,12.6008281707764,3.12348675727844,3.19952034950256,79.2289581298828,75.1013565063477,0.131184011697769,0.01008066162467,0.140831217169762
"BE10",4.29930305480957,12.3548889160156,2.05988240242004,2.35871124267578,85.4948120117188,82.5774612426758,0.140577673912048,0.266051292419434,0
"BE21",4.33801651000977,12.20139503479,1.88831520080566,2.42753672599792,85.1191329956055,82.6352462768555,0.133616760373116,0.134272053837776,3.14457460071083e-10
"BE22",3.94728660583496,12.1919536590576,2.11227822303772,2.3228554725647,85.0159378051758,82.2285537719727,0.15045340359211,0.115806609392166,0
"BE23",4.43087720870972,12.4550228118896,1.88012444972992,2.5144317150116,85.3954544067383,82.8918838500977,0.154634982347488,0.131269708275795,2.55268500781725e-10
"BE24",4.06714391708374,12.3043127059937,2.05185914039612,2.27198243141174,85.3818359375,82.5345687866211,0.154012769460678,0.176471650600433,2.51797714623248e-11
"BE25",4.59931039810181,12.4338140487671,1.92326676845551,2.70411562919617,84.6263198852539,82.2185821533203,0.149193316698074,0.0975783914327621,3.56547874558188e-10
"BE31",4.0410270690918,12.3178977966309,2.0314404964447,2.23755764961243,85.4113616943359,82.5310516357422,0.153733238577843,0.17579297721386,0
"BE32",4.11725044250488,12.2587289810181,2.18270492553711,2.51571035385132,86.0901565551758,83.2284469604492,0.168104231357574,0.119365178048611,9.38663291008735e-35
"BE33",3.1172935962677,11.6442317962646,2.41085124015808,2.56492638587952,86.7266540527344,84.0132446289062,0.159890502691269,0.100551590323448,1.43020063023483e-13
"BE34",2.69505429267883,11.0599727630615,2.61988735198975,2.91654396057129,88.1791610717773,85.4635467529297,0.195543572306633,0.0393013395369053,1.16501158635736e-27
