"NUTM","temperature_winter","temperature_fall","precipitation_spring","precipitation_fall","relative_humidity_winter","relative_humidity_fall","pastures","urbanAreas","primaryNonForest"
"AD",4.52013778686523,13.857403755188,2.74243879318237,2.59658670425415,73.5473022460938,73.1367111206055,0.0595459155738354,0.0158773418515921,0.0280041601508856
"AL013",3.55410623550415,13.8415184020996,3.11984491348267,3.90380454063416,76.3474426269531,71.5595550537109,0.189292088150978,0.0177214369177818,0
"AL015",4.55903244018555,14.8900308609009,3.91951417922974,5.33045673370361,74.4890060424805,71.1387252807617,0.127503231167793,0.0111668184399605,0.0017086158040911
"AL014",8.04232883453369,18.3849639892578,3.27203845977783,4.11012649536133,74.3080596923828,71.536018371582,0.130475029349327,0.0115851797163486,2.79167193184549e-06
"AL011",5.25607585906982,15.5699119567871,2.83116602897644,3.33748245239258,77.8585357666016,73.0755004882812,0.229160889983177,0.010790609754622,0
"AL012",9.88057708740234,20.0055866241455,2.8575291633606,3.48496890068054,72.3792190551758,70.5684814453125,0.0995578467845917,0.0231064595282078,0.000748047255910933
"AL021",6.51076030731201,16.5164680480957,2.4977765083313,2.89033627510071,76.5701217651367,71.8461685180664,0.213387101888657,0.0144668072462082,0
"AL022",9.56789684295654,19.5367870330811,2.62827301025391,3.03621625900269,73.0034942626953,70.7432174682617,0.129475355148315,0.0292643290013075,0.000145810525282286
"AL034",4.72971057891846,15.0013790130615,2.25356507301331,2.70466303825378,79.0424194335938,71.6041412353516,0.155288502573967,0.00875630415976048,0.3396355509758
"AL031",7.83179044723511,17.6584987640381,2.37570738792419,2.95126795768738,75.3047943115234,70.9005889892578,0.214032843708992,0.011056843213737,0
"AL032",11.5479307174683,21.3493232727051,2.26482272148132,2.9201455116272,73.8341903686523,71.1344680786133,0.14447771012783,0.0181706100702286,0.00541688269004226
"AL035",10.4071855545044,20.2806072235107,2.55927634239197,3.9746572971344,75.4811706542969,72.7972717285156,0.16666404902935,0.00454619061201811,0.00701860012486577
"AL033",7.07710123062134,16.9254570007324,2.70998024940491,4.01347303390503,75.3709411621094,71.0256271362305,0.21509838104248,0.00462513184174895,0.0127688273787498
"AT11",5.19077205657959,15.0015707015991,2.11930155754089,1.82912564277649,77.1042938232422,74.8209609985352,0.0138628501445055,0.012266356498003,0.0252633783966303
"AT12",4.37935924530029,14.1593475341797,2.73519992828369,1.83608782291412,78.6258239746094,76.8609466552734,0.181437358260155,0.0202291719615459,0.0997565165162086
"AT13",5.79350662231445,15.3835687637329,2.278235912323,1.60565257072449,77.0662155151367,74.7275924682617,0.167120099067688,0.116770669817924,0.0853981450200081
"AT21",1.5331209897995,11.4987440109253,3.56026768684387,3.60639262199402,77.9999847412109,79.2727279663086,0.104843080043793,0.0113469772040844,0
"AT22",2.36679148674011,12.2706661224365,3.29877376556396,2.70994114875793,79.1294326782227,78.9130401611328,0.0707503035664558,0.0137368207797408,0.0376910790801048
"AT31",3.66530299186707,13.5507383346558,3.73381686210632,2.74009013175964,80.5342254638672,79.4098663330078,0.231596574187279,0.0194584261626005,0.0563428662717342
"AT32",0.909348368644714,10.1217985153198,4.49961423873901,3.62931489944458,79.0836639404297,80.3047180175781,0.168062180280685,0.00935985986143351,0
