"NUTM","temperature_winter","temperature_fall","precipitation_spring","precipitation_fall","relative_humidity_winter","relative_humidity_fall","pastures","urbanAreas","primaryNonForest"
"AD",3.19209337234497,12.5512390136719,3.28259372711182,2.67487359046936,74.6144485473633,75.0947875976562,0.0566466152667999,0.0178468078374863,0.0314546711742878
"AL013",1.93192291259766,12.1779451370239,3.94044208526611,4.18722200393677,79.6222457885742,74.9229965209961,0.151631459593773,0.0256104059517384,0
"AL015",3.10175824165344,13.1454658508301,5.16816091537476,5.79977607727051,77.112663269043,74.3453369140625,0.0995983630418777,0.0157373677939177,0.00170463311951607
"AL014",6.82813882827759,16.7105846405029,3.9365885257721,4.65960311889648,76.1118392944336,73.6975479125977,0.110232979059219,0.0214272774755955,2.7851644972543e-06
"AL011",3.84806156158447,13.9412870407104,3.49516344070435,3.70210266113281,80.2546920776367,75.6398468017578,0.159474357962608,0.013685773126781,0
"AL012",8.7755069732666,18.2996158599854,3.46465349197388,4.03651237487793,73.8559188842773,72.5520477294922,0.099384717643261,0.0339915826916695,0.000739723560400307
"AL021",5.16981315612793,14.8674430847168,3.16856074333191,3.30607199668884,78.8228302001953,74.2903518676758,0.152073860168457,0.0185149721801281,0
"AL022",8.43103885650635,17.8335666656494,3.2167661190033,3.53525066375732,74.5853652954102,72.8056793212891,0.119159035384655,0.0394688509404659,0.000142589575261809
"AL034",3.27934765815735,13.3498802185059,2.95250177383423,3.03596925735474,81.5628051757812,74.4072875976562,0.0997867062687874,0.00932368822395802,0.362634181976318
"AL031",6.54664373397827,15.9833269119263,3.08763241767883,3.50573897361755,77.4297637939453,73.2485580444336,0.168073192238808,0.0174591094255447,0
"AL032",10.4691667556763,19.6136302947998,2.94478750228882,3.67394018173218,75.1700210571289,73.0710754394531,0.147777944803238,0.027067556977272,0.00496746087446809
"AL035",9.4343204498291,18.5959758758545,3.17331624031067,4.49648904800415,76.5769348144531,74.803596496582,0.14706127345562,0.00689225224778056,0.00703865988180041
"AL033",5.83537006378174,15.2558326721191,3.4105806350708,4.50547790527344,77.4007873535156,73.5043869018555,0.164087653160095,0.00750425830483437,0.0137215415015817
"AT11",3.08460259437561,13.0442600250244,2.58017754554749,2.10181999206543,81.879508972168,78.8470687866211,0.0917581617832184,0.0206296741962433,0.031429834663868
"AT12",2.32731056213379,12.2186279296875,3.10314702987671,2.05663394927979,83.6904296875,80.4670486450195,0.0792401432991028,0.0278890449553728,0.130172312259674
"AT13",3.81227731704712,13.447847366333,2.62504053115845,1.84292304515839,82.5621109008789,77.8343200683594,0.0687904879450798,0.131979554891586,0.113042965531349
"AT21",-0.410120815038681,9.42302703857422,4.16252279281616,3.62754130363464,82.3506240844727,82.9289779663086,0.0737314596772194,0.0151024665683508,0
"AT22",0.249246165156364,10.1527214050293,3.8691737651825,2.89695286750793,83.7300186157227,83.3118743896484,0.0659461989998817,0.0222704466432333,0.0505294241011143
"AT31",1.7868195772171,11.6313343048096,4.12115430831909,2.91319346427917,84.9121932983398,82.8069305419922,0.150330245494843,0.0276570171117783,0.0746719911694527
