"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"UKM83",267595.53125,272473.09375,288330.3125,306376.59375
"UKM84",210742.515625,213671.109375,227194.296875,240790.671875
"UKM91",504767.875,522236.84375,558297.4375,625052.375
"UKM92",136769.40625,137856.609375,141796.234375,150056.421875
"UKM93",547568.3125,557146.875,590325.4375,627983.1875
"UKM94",97169.140625,98492.90625,101114.6953125,103958.4140625
"UKM95",648269.75,657483.75,698713.75,741125.8125
"UKN06",43251.015625,44018.12890625,46711.73828125,51014.76171875
"UKN07",180581.984375,183048.25,192292.953125,209988.25
"UKN08",178447.75,181183.640625,189163.140625,206509.078125
"UKN09",112647.609375,114619.3203125,121463.8203125,132710.9375
"UKN10",84323.5625,85778.015625,92236.5,104381.3359375
"UKN11",153121.5,153509.5625,160255.828125,178738.421875
"UKN12",99071.6875,99851.5078125,103894.9609375,115250.828125
"UKN13",133491.15625,135679.34375,143695.0625,156812.65625
"UKN14",96167.21875,97807.1953125,103212.734375,112605.1953125
"UKN15",225898.875,229722.15625,243473.25,265801.40625
"UKN16",136420.203125,139374.828125,151174.4375,173396.125
"VA",232.646331787109,225.886856079102,212.726638793945,210.440170288086
"XKG125378",624229.0625,680904.1875,719859.125,720190.625
"XKG125379",244987.59375,262838.65625,275411.03125,275656.03125
"XKG125380",217064.15625,231284.109375,240356.34375,240058.125
"XKG125385",250415.875,270775.875,287252.5625,287136.40625
"XKG125389",335678.59375,359109.28125,373580.34375,373707.09375
