"NUTS_ID","2024","2025-2049","2050-2074","2075-2100"
"AD",19092.22265625,18942.203125,18749.42578125,17627.111328125
"AL013",151797.078125,147624.484375,131417.8125,111987.671875
"AL015",218274.90625,204586.0625,173440.171875,140507.984375
"AL014",102795.3828125,91763.6875,70404.5859375,51516.65234375
"AL011",136943.421875,123190.4375,98176.984375,77167.0234375
"AL012",251447.40625,236223.15625,188726.59375,149121.421875
"AL021",393202.15625,362345.125,287206.71875,224142.96875
"AL022",756720.6875,712789.1875,570974.375,453766.875
"AL034",169329.296875,153490.0625,124196.890625,104423.46875
"AL031",103186.90625,89719.5546875,66217.0234375,45914.28515625
"AL032",232563.421875,206487.96875,155132.015625,110779.390625
"AL035",72059.28125,65144,51407.88671875,39602.1640625
"AL033",52718.578125,46964.17578125,36859.96875,28677.14453125
"AT11",388474.53125,379297.15625,364794.1875,327587.65625
"AT12",3292300.75,3390779,3509188.75,3322429.75
"AT13",446695.84375,472343.8125,503652.84375,484517.5
"AT21",645077.1875,632321.4375,617723.625,569335.6875
"AT22",1330383.75,1342066.5,1340373.75,1248108
"AT31",1543795.125,1535971.25,1533068.875,1410498.375
"AT32",522067.46875,534928.5625,547296.25,522780.03125
"AT33",881398.875,880464.5625,874026.125,823133.1875
"AT34",434442.46875,432415.3125,427593.09375,399161.3125
"BAG1652",1726203.375,1580197.875,1289540.375,1040550
"BAG1653",1278771.875,1150694.5,921211.1875,732185.75
"BE10",178698.15625,187398.828125,200984.609375,198571.296875
"BE21",1443176.625,1477131.75,1523824.375,1478769
"BE22",1043040.75,1049594.5,1047056.1875,984256.375
"BE23",1454262.5,1505336,1592743.625,1571949.75
"BE24",1448661.5,1509080.25,1604896.75,1580619.25
"BE25",1291076.875,1350857.875,1464020.125,1483263.25
"BE31",710102.8125,741394.6875,792535.3125,783342.4375
"BE32",1776103.25,1850674.625,1980546.375,1971932.25
"BE33",1241036.875,1247107.625,1245980.875,1175866
"BE34",405342.09375,404334.21875,402320.5625,380788.40625
"BE35",696278.6875,709597,728967.8125,704928.0625
